Place,DRID,DRNAME,RegionalDistrict,CDID,CSDID,CensusSubDivision,DPL,CMAID,CMANAME
100 Mile House,5,Cariboo,Cariboo,41,5,One Hundred Mile House,,,
105 Mile House,5,Cariboo,Cariboo,41,15,Cariboo G,,,
108 Mile Ranch,5,Cariboo,Cariboo,41,15,Cariboo G,590162,,
111 Mile House,5,Cariboo,Cariboo,41,15,Cariboo G,,,
114 Mile House,5,Cariboo,Cariboo,41,15,Cariboo G,,,
12 Mile,7,Nechako,Bulkley-Nechako,51,15,Bulkley-Nechako C,,,
122 Mile House,5,Cariboo,Cariboo,41,15,Cariboo G,,,
127 Mile House,5,Cariboo,Cariboo,41,15,Cariboo G,,,
141 Mile House,5,Cariboo,Cariboo,41,14,Cariboo F,,,
150 Mile House,5,Cariboo,Cariboo,41,14,Cariboo F,590143,,
40 Mile Flats,6,North Coast,Kitimat-Stikine,49,41,Kitimat-Stikine D,,,
70 Mile House,3,Thompson Okanagan,Thompson-Nicola,33,32,Thompson-Nicola E (Bonaparte Plateau),,,
93 Mile,5,Cariboo,Cariboo,41,15,Cariboo G,,,
Abbotsford,2,Mainland/Southwest,Fraser Valley,9,52,Abbotsford,,932,Abbotsford
Abbott Heights,5,Cariboo,Cariboo,41,27,Cariboo I,,952,Quesnel
Aberdeen,3,Thompson Okanagan,Thompson-Nicola,33,42,Kamloops,,925,Kamloops
Aberdeen,2,Mainland/Southwest,Fraser Valley,9,52,Abbotsford,,932,Abbotsford
Adams Lake,3,Thompson Okanagan,Thompson-Nicola,33,54,Chase,,925,Kamloops
Agassiz,2,Mainland/Southwest,Fraser Valley,9,32,Kent,,930,Chilliwack
Agate,3,Thompson Okanagan,Thompson-Nicola,33,859,Shackan 11,,,
Ahbau,5,Cariboo,Cariboo,41,26,Cariboo C,,952,Quesnel
Ahousat,1,Vancouver Island/Coast,Alberni-Clayoquot,23,49,Alberni-Clayoquot C,,,
Ainsworth,4,Kootenay,Central Kootenay,3,39,Central Kootenay D,590119,,
Ainsworth Hot Springs,4,Kootenay,Central Kootenay,3,39,Central Kootenay D,590119,,
Aiyansh,6,North Coast,Kitimat-Stikine,49,834,New Aiyansh,,,
Aiyansh 1,6,North Coast,Kitimat-Stikine,49,836,Aiyansh (Kitladamas) 1,,,
Akiskinook,4,Kootenay,East Kootenay,1,46,East Kootenay F,590093,,
Alamo,4,Kootenay,Central Kootenay,3,52,Central Kootenay H,,,
Albas,3,Thompson Okanagan,Columbia-Shuswap,39,44,Columbia-Shuswap F,,,
Alberni,1,Vancouver Island/Coast,Alberni-Clayoquot,23,8,Port Alberni,,940,Port Alberni
Albert Canyon,3,Thompson Okanagan,Columbia-Shuswap,39,23,Columbia-Shuswap B,,,
Albert Head,1,Vancouver Island/Coast,Capital,17,42,Metchosin,,935,Victoria
Albion,2,Mainland/Southwest,Greater Vancouver,15,75,Maple Ridge,,933,Vancouver
Albreda,5,Cariboo,Fraser-Fort George,53,19,Fraser-Fort George H,,,
Aldergrove,2,Mainland/Southwest,Greater Vancouver,15,1,Langley,,933,Vancouver
Alert Bay,1,Vancouver Island/Coast,Mount Waddington,43,8,Alert Bay,,,
Alexandria,5,Cariboo,Cariboo,41,19,Cariboo A,,952,Quesnel
Alexis Creek,5,Cariboo,Cariboo,41,41,Cariboo K,590144,,
Aleza Lake,5,Cariboo,Fraser-Fort George,53,48,Fraser-Fort George F,,970,Prince George
Alice Arm,6,North Coast,Kitimat-Stikine,49,39,Kitimat-Stikine A,,,
Alice Siding,4,Kootenay,Central Kootenay,3,4,Creston,,,
Alkali Lake,5,Cariboo,Cariboo,41,801,Alkali Lake 1,,950,Williams Lake
Allenby,3,Thompson Okanagan,Okanagan-Similkameen,7,55,Okanagan-Similkameen H,,,
Alliford Bay,6,North Coast,Skeena-Queen Charlotte,47,32,Skeena-Queen Charlotte E,,,
Allison Lake,3,Thompson Okanagan,Okanagan-Similkameen,7,55,Okanagan-Similkameen H,,,
Allison Lake,3,Thompson Okanagan,Okanagan-Similkameen,7,55,Okanagan-Similkameen H,,,
Almond Gardens,4,Kootenay,Kootenay Boundary,5,52,Kootenay Boundary D,590039,,
Alpine Meadows,2,Mainland/Southwest,Squamish-Lillooet,31,20,Whistler,,,
Alta Lake,2,Mainland/Southwest,Squamish-Lillooet,31,20,Whistler,,,
Altona,8,Northeast,Peace River,55,40,Peace River B,,,
Alvin,2,Mainland/Southwest,Fraser Valley,9,60,Fraser Valley F,,,
Ambleside,2,Mainland/Southwest,Greater Vancouver,15,55,West Vancouver,,933,Vancouver
Amsbury,6,North Coast,Kitimat-Stikine,49,13,Kitimat-Stikine C (Part 1),,965,Terrace
Anaconda,4,Kootenay,Kootenay Boundary,5,54,Kootenay Boundary E,,,
Anahim Lake,5,Cariboo,Cariboo,41,840,Squinas 2,590145,,
Anderson,5,Cariboo,Cariboo,41,26,Cariboo C,,952,Quesnel
Anderson Subdivision,5,Cariboo,Cariboo,41,17,Cariboo L,590146,,
Andimaul,6,North Coast,Kitimat-Stikine,49,28,Kitimat-Stikine B,,,
Anglemont,3,Thompson Okanagan,Columbia-Shuswap,39,44,Columbia-Shuswap F,590196,,
Angusmac,5,Cariboo,Fraser-Fort George,53,50,Fraser-Fort George G,,,
Anmore,2,Mainland/Southwest,Greater Vancouver,15,38,Anmore,,933,Vancouver
Anniedale,2,Mainland/Southwest,Greater Vancouver,15,4,Surrey,,933,Vancouver
Annis,3,Thompson Okanagan,Columbia-Shuswap,39,43,Columbia-Shuswap E,,,
Anvil Island,2,Mainland/Southwest,Sunshine Coast,29,28,Sunshine Coast F,590249,,
Anyox,6,North Coast,Kitimat-Stikine,49,39,Kitimat-Stikine A,,,
Anzac,5,Cariboo,Fraser-Fort George,53,50,Fraser-Fort George G,,,
Appledale,4,Kootenay,Central Kootenay,3,52,Central Kootenay H,,,
Applegrove,4,Kootenay,Central Kootenay,3,60,Central Kootenay K,,,
Arbutus,1,Vancouver Island/Coast,Cowichan Valley,19,49,Cowichan Valley C,590064,,
Arbutus Ridge,2,Mainland/Southwest,Greater Vancouver,15,22,Vancouver,590064,933,Vancouver
Arden Park,2,Mainland/Southwest,Squamish-Lillooet,31,34,Squamish-Lillooet B,,,
Ardmore,1,Vancouver Island/Coast,Capital,17,5,North Saanich,,935,Victoria
Argenta,4,Kootenay,Central Kootenay,3,39,Central Kootenay D,,,
Armstrong,3,Thompson Okanagan,North Okanagan,37,28,Armstrong,,,
Arnold,2,Mainland/Southwest,Fraser Valley,9,52,Abbotsford,,932,Abbotsford
Arras,8,Northeast,Peace River,55,21,Peace River D,590074,,
Arrow Creek,4,Kootenay,Central Kootenay,3,13,Central Kootenay B,,,
Arrow Park,4,Kootenay,Central Kootenay,3,60,Central Kootenay K,,,
Arrowhead,3,Thompson Okanagan,Columbia-Shuswap,39,23,Columbia-Shuswap B,,,
Arrowsmith,1,Vancouver Island/Coast,Alberni-Clayoquot,23,39,Alberni-Clayoquot F,,940,Port Alberni
Arrowview Heights,1,Vancouver Island/Coast,Alberni-Clayoquot,23,39,Alberni-Clayoquot F,590087,940,Port Alberni
Ashcroft,3,Thompson Okanagan,Thompson-Nicola,33,19,Ashcroft,,,
