trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-08-01,Mainland/Southwest,FRASER VALLEY,1329,1293,51,14,25,3,771,368,3,58,18,11,2,5,8,7,3,676851868,509294.1,436000,10835277.79,6300,21,32658200,1555152.4,692000,
2016-09-01,Mainland/Southwest,FRASER VALLEY,1094,1052,36,5,19,2,526,272,1,191,17,8,5,4,13,10,2,530648608,485053.6,400000,8346487.63,5745,12,5284400,440366.7,466950,
2016-10-01,Mainland/Southwest,FRASER VALLEY,966,861,25,9,14,2,345,218,4,244,44,6,2,36,10,23,28,456049010,472100.4,380000,7057618.71,4735,14,11951331,853666.5,633000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,9292,9075,98,16,16,74,3852,3811,45,1163,193,72,80,41,4,13,7,10150393344,1092379.8,675950,203943484.4,11300,895,1071905731,1197660,756900,
2016-07-01,Mainland/Southwest,METRO VANCOUVER,9040,8886,71,19,25,74,3656,3764,42,1235,131,38,64,29,2,3,18,9240379155,1022165.8,682950,179087926.8,11424,1341,1760164317,1312575.9,802000,
2016-08-01,Mainland/Southwest,METRO VANCOUVER,7094,6948,68,23,26,57,2705,3109,52,908,127,33,67,27,3,9,7,6871639080,968655.1,651500,133693188.8,10989,62,64609977,1042096.4,602252,2342545
2016-09-01,Mainland/Southwest,METRO VANCOUVER,5868,5644,66,11,21,50,1807,2563,45,1081,204,104,54,46,6,10,4,6011563260,1024465.4,590000,127868827.4,9530,155,360114518,2323319.5,1100000,8906680
2016-10-01,Mainland/Southwest,METRO VANCOUVER,4839,4694,24,10,9,35,1071,1660,23,1862,124,21,38,65,3,2,16,3966672107,819729.7,510000,84947986.73,7980,143,116876142,817315.7,542000,13326867
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,331,294,13,3,1,,116,120,37,4,6,2,4,,30,,1,229769972,694169.1,490000,4296976.46,7800,,,,,
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,285,240,12,7,,2,88,93,19,19,31,1,29,1,12,2,,158488482,556099.9,421500,2632429.3,6243.4,,,,,
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,273,255,11,2,1,1,92,101,15,32,6,,5,1,5,6,1,196542294,719935.1,499000,3564641.01,7800,,,,,
2016-09-01,Mainland/Southwest,SQUAMISH-LILLOOET,270,251,13,,4,,67,109,38,20,7,3,2,2,10,,2,160493875,594421.8,429450,2783281.6,6580,,,,,
2016-10-01,Mainland/Southwest,SQUAMISH-LILLOOET,236,217,16,5,1,,55,68,26,46,6,1,1,4,13,,,137204808,581376.3,422637.5,2341976.1,6236.605,,,,,
2016-06-01,Mainland/Southwest,SUNSHINE COAST,266,250,29,,1,1,176,30,2,11,4,4,,,9,,3,118247734,444540.4,371500,1835309.17,5290,,,,,
2016-07-01,Mainland/Southwest,SUNSHINE COAST,217,209,28,2,,1,150,24,1,3,1,1,,,6,,1,102579582,472717,410000,1616141.99,5980,,,,,
2016-08-01,Mainland/Southwest,SUNSHINE COAST,142,142,6,2,,1,99,26,,8,,,,,,,,70591873,497125.9,399500,1055703.32,5540,,,,,
2016-09-01,Mainland/Southwest,SUNSHINE COAST,131,122,14,3,,,81,12,,12,5,3,,2,2,2,,76493227,583917.8,439300,1326727.71,6780,,,,,
2016-10-01,Mainland/Southwest,SUNSHINE COAST,75,72,6,,,,34,15,,17,,,,,1,1,1,36605332,488071.1,434500,580469.72,6590,,,,,
2016-06-01,Nechako & North Coast,BULKLEY-NECHAKO,131,119,50,,4,3,55,3,,4,5,4,,1,4,2,1,23066747,176082,145000,287574.86,1450,,,,,
2016-07-01,Nechako & North Coast,BULKLEY-NECHAKO,118,106,43,4,2,,54,,,3,5,5,,,1,5,1,19939065,168975.1,156500,244406.28,1490,,,,,
2016-08-01,Nechako & North Coast,BULKLEY-NECHAKO,112,109,36,8,3,,60,1,,1,1,1,,,1,,1,23697061,211580.9,195000,306936.64,1925,,,,,
2016-09-01,Nechako & North Coast,BULKLEY-NECHAKO,114,104,30,3,3,2,54,,,12,2,1,,1,1,4,3,19733152,173097.8,160000,240616.04,1600,,,,,
2016-10-01,Nechako & North Coast,BULKLEY-NECHAKO,71,64,13,,2,,39,,,10,4,1,,3,2,1,,15920811,224236.8,189000,215186.42,1890,,,,,
2016-06-01,Nechako & North Coast,KITIMAT-STIKINE,96,90,16,,1,,68,4,,1,5,5,,,1,,,21940382,228545.6,224995,289212.07,2249.9,,,,,
2016-07-01,Nechako & North Coast,KITIMAT-STIKINE,59,56,3,1,,,48,3,,1,1,1,,,2,,,14247679,241486.1,245000,193743.11,2900,,,,,
2016-08-01,Nechako & North Coast,KITIMAT-STIKINE,44,40,5,,,,34,1,,,3,3,,,,,1,13606900,309247.7,267450,195798,3349,,,,,
2016-09-01,Nechako & North Coast,KITIMAT-STIKINE,54,44,5,,,,34,4,,1,3,3,,,,,7,9662299,178931.5,165500,121086.99,1655,,,,,
2016-10-01,Nechako & North Coast,KITIMAT-STIKINE,33,31,2,,,,19,4,,6,2,2,,,,,,6972707,211294.2,192500,85410.24,1825,,,,,
2016-06-01,Nechako & North Coast,NORTH COAST,45,41,3,1,,1,35,,1,,4,4,,,,,,10320700,229348.9,213750,138509.5,2275,,,,,
2016-07-01,Nechako & North Coast,NORTH COAST,48,48,1,1,,,44,2,,,,,,,,,,10258649,213721.9,209000,129788.98,2190,,,,,
2016-08-01,Nechako & North Coast,NORTH COAST,40,35,1,,,,33,,,1,4,4,,,,,1,9898200,247455,170750,140932,1707.5,,,,,
2016-09-01,Nechako & North Coast,NORTH COAST,30,27,2,1,,,22,1,,1,,,,,,,3,7644527,254817.6,235000,102515.26,2700,,,,,
2016-10-01,Nechako & North Coast,NORTH COAST,29,28,2,1,,,20,,1,4,1,1,,,,,,5557633,191642.5,200000,70351.33,2000,,,,,
2016-06-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,142,114,12,1,3,,72,8,2,16,8,4,,4,1,15,4,41803963,294394.1,259900,553496.16,2905.25,,,,,
2016-07-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,113,91,17,1,4,,66,2,,1,4,3,,1,1,16,1,28888393,255649.5,250000,384579.9,2720,,,,,
2016-08-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,116,93,12,,2,,71,4,,4,14,10,,4,1,7,1,59623740,513997.8,280000,1080066.52,2850,,,,,
2016-09-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,127,107,14,1,5,,68,5,1,13,5,4,,1,1,14,,36695943,288944.4,255000,508592.12,2350,,,,,
2016-10-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,120,96,14,,2,,64,1,2,13,10,7,,3,1,11,2,67316902,560974.2,255000,1458218.73,3000,,,,,
2016-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,1077,1047,30,5,7,5,664,291,,45,15,11,,4,6,7,2,579128624,537723.9,443500,9370214.58,6600,36,21862880,607302.2,524000,
2016-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,983,975,27,3,3,4,582,262,3,91,5,2,2,1,2,1,,505322061,514061.1,432500,8044671.93,6300,20,14444900,722245,533500,
2016-08-01,Thompson/Okanagan,CENTRAL OKANAGAN,1048,1031,17,7,1,,596,315,4,91,13,6,4,3,1,1,2,537390781,512777.5,440000,8550115.04,6599,18,7828588,434921.6,420000,
2016-09-01,Thompson/Okanagan,CENTRAL OKANAGAN,931,904,20,5,5,4,435,272,5,158,20,8,8,4,5,2,,507857607,545496.9,430000,8405822.14,6340,12,5614683,467890.2,387400,
2016-10-01,Thompson/Okanagan,CENTRAL OKANAGAN,716,697,22,,8,1,303,165,3,195,12,5,1,6,3,4,,392656617,548403.1,450000,6474735.79,6700,20,25594803,1279740.1,905000,
2016-06-01,Thompson/Okanagan,COLUMBIA SHUSWAP,283,261,37,3,5,3,176,30,,7,12,9,2,1,7,3,,89214270,315244.8,275000,1302504.23,3500,,,,,
2016-07-01,Thompson/Okanagan,COLUMBIA SHUSWAP,231,214,30,,3,,150,22,,9,4,4,,,9,,4,75606082,327299.1,308000,1105144.64,4000,,,,,
2016-08-01,Thompson/Okanagan,COLUMBIA SHUSWAP,212,191,18,5,7,1,128,24,,8,7,4,,3,12,1,1,67864893,320117.4,293250,981502.7,3800,,,,,
2016-09-01,Thompson/Okanagan,COLUMBIA SHUSWAP,208,195,25,1,3,,124,18,,24,6,5,1,,4,1,2,71452485,343521.6,319500,1073309.93,4380,,,,,
2016-10-01,Thompson/Okanagan,COLUMBIA SHUSWAP,151,139,15,3,2,4,80,11,,24,4,2,,2,3,2,3,51940821,343978.9,290000,765056.2,3700,,,,,
2016-06-01,Thompson/Okanagan,NORTH OKANAGAN,439,422,31,3,71,,232,70,,15,8,6,1,1,1,7,1,162783927,370806.2,342000,2490168.06,4660,,,,,
2016-07-01,Thompson/Okanagan,NORTH OKANAGAN,395,383,28,2,11,3,267,59,,13,7,6,,1,3,1,1,164076757,415384.2,370000,2446885.19,5200,,,,,
2016-08-01,Thompson/Okanagan,NORTH OKANAGAN,395,388,28,1,10,,242,80,,27,6,5,,1,,1,,157829647,399568.7,359000,2303481.34,4900,,,,,
2016-09-01,Thompson/Okanagan,NORTH OKANAGAN,382,362,34,1,8,3,211,69,1,35,15,12,3,,5,,,149655846,391769.2,350000,2185894.23,4745,,,,,
2016-10-01,Thompson/Okanagan,NORTH OKANAGAN,307,281,20,1,10,2,148,38,,62,14,7,1,6,8,4,,130938924,426511.2,335000,2056318.09,4500,,,,,
2016-06-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,450,425,40,5,12,4,266,79,1,18,11,9,,2,4,5,5,178376036,396391.2,332500,2672831.37,4407.435,,,,,
2016-07-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,358,335,27,2,6,2,200,83,1,14,5,4,,1,9,7,2,137876827,385130.8,319200,2040592.57,4200,,,,,
2016-08-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,376,351,29,5,6,5,209,72,2,23,11,6,,5,8,6,,148801382,395748.4,320000,2275510.65,4100,,,,,
2016-09-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,396,366,26,2,5,4,204,82,2,41,16,8,3,5,8,5,1,154616253,390445.1,320000,2362409.72,4259,,,,,
2016-10-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,284,273,12,2,5,3,135,55,,61,6,6,,,2,3,,100792309,354902.5,300550,1400957.3,3783.845,,,,,
2016-06-01,Thompson/Okanagan,THOMPSON-NICOLA,491,462,41,1,8,2,312,68,5,25,14,11,,3,4,8,3,164135146,334287.5,306100,2239033.12,3700,,,,,
2016-07-01,Thompson/Okanagan,THOMPSON-NICOLA,432,422,34,2,6,,294,76,1,9,6,5,1,,2,2,,149109643,345161.2,324950,2061750.1,4255,,,,,
2016-08-01,Thompson/Okanagan,THOMPSON-NICOLA,504,481,33,3,11,,343,77,2,12,6,1,4,1,4,11,2,168759650,334840.6,324750,2297865.47,3990,,,,,
2016-09-01,Thompson/Okanagan,THOMPSON-NICOLA,450,429,40,5,4,1,252,72,2,53,8,7,1,,6,5,2,143001325,317780.7,300000,1902730.11,3590,,,,,
2016-10-01,Thompson/Okanagan,THOMPSON-NICOLA,375,360,17,2,4,1,207,46,4,79,10,6,,4,3,1,1,126440548,337174.8,320000,1764533.07,3800,,,,,
2016-06-01,Unknown/Rural,RURAL,174,152,47,3,3,,94,4,,1,6,1,3,2,10,3,3,70715294,406409.7,357500,1091420.03,5150,,,,,
2016-07-01,Unknown/Rural,RURAL,161,154,37,,3,,107,4,3,,2,1,,1,5,,,64324222,399529.3,360000,1004899.24,5200,,,,,
2016-08-01,Unknown/Rural,RURAL,396,372,83,2,8,,254,19,1,5,6,4,2,,11,4,3,150328079,379616.4,330000,2276281.02,4300,,,,,
2016-09-01,Unknown/Rural,RURAL,526,457,115,4,10,,249,21,3,55,6,2,3,1,32,22,9,191491451,364052.2,275750,2968731.86,3342,,,,,
2016-10-01,Unknown/Rural,RURAL,394,350,90,1,4,,170,12,2,71,5,3,1,1,25,6,8,127453568,323486.2,250000,1899048.46,2850,,,,,
2016-06-01,Unknown/Rural,UNKNOWN,73,65,7,,,,11,,,47,4,1,,3,3,1,,31353280,429497,314900,448566.23,3760,,,,,
2016-07-01,Unknown/Rural,UNKNOWN,82,66,8,,,,6,,,52,1,,,1,1,1,13,41634055,507732.4,371250,631995.44,4650.5,,,,,
2016-08-01,Unknown/Rural,UNKNOWN,219,197,15,2,1,,97,68,1,13,4,1,2,1,11,7,,120034251,548101.6,370000,2118878.48,4755,,,,,
2016-09-01,Unknown/Rural,UNKNOWN,33,31,1,,,,6,13,,11,1,,,1,1,,,16886687,511717.8,386000,277589.93,5720,,,,,
2016-10-01,Unknown/Rural,UNKNOWN,25,22,,,,,1,3,,18,2,,,2,1,,,12427200,497088,395000,204810,5900,,,,,
2016-06-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,130,120,11,4,1,4,91,5,3,1,5,3,1,1,5,,,34310331,263925.6,200000,472734.93,2000,,,,,
2016-07-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,107,98,6,3,,,88,1,,,5,4,,1,4,,,35772808,334325.3,224000,546281.48,2450,,,,,
2016-08-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,135,130,8,5,,1,98,13,2,3,3,1,,2,2,,,42159705,312294.1,235000,612026.25,2700,,,,,
2016-09-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,142,135,9,3,,,97,14,,12,6,3,,3,1,,,40549837,285562.2,220000,565821.5,2400,,,,,
2016-10-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,122,119,2,,1,3,71,9,1,32,1,1,,,2,,,39497965,323753.8,266309.5,567073.79,3239,,,,,
2016-06-01,Vancouver Island/Coast,CAPITAL,1595,1567,32,5,4,16,802,509,95,104,25,11,4,10,,2,1,950682515,596039.2,489900,15740577.4,7400,64,44954087,702407.6,584000,
2016-07-01,Vancouver Island/Coast,CAPITAL,1308,1291,26,5,4,16,696,412,3,129,13,3,6,4,,,4,808144615,617847.6,494150,13547092.71,7400,46,39252490,853315,752000,
2016-08-01,Vancouver Island/Coast,CAPITAL,1317,1306,33,5,4,21,716,442,5,80,10,8,2,,,,1,807143021,612864.9,522000,13425938.86,7998,47,42513620,904545.1,890000,
2016-09-01,Vancouver Island/Coast,CAPITAL,1097,1074,30,5,4,24,485,315,5,206,16,8,3,5,2,3,2,724302579,660257.6,510000,12608910.3,7800.3,39,31081958,796973.3,695880,
2016-10-01,Vancouver Island/Coast,CAPITAL,907,879,26,4,1,8,313,189,3,335,22,15,,7,1,,5,578808168,638156.7,518000,9411913.94,7800,63,75608099,1200128.6,895000,
2016-06-01,Vancouver Island/Coast,COMOX VALLEY,348,337,17,,,1,247,62,1,9,9,5,4,,1,,1,139095820,399700.6,305900,2351453.87,3739,,,,,
2016-07-01,Vancouver Island/Coast,COMOX VALLEY,314,310,15,1,,,220,51,1,22,2,1,1,,,1,1,115793266,368768.4,343450,1577978.02,4520,,,,,
2016-08-01,Vancouver Island/Coast,COMOX VALLEY,338,319,22,,5,,219,43,2,28,17,5,9,3,1,1,,127345430,376761.6,337200,1778776.79,3920,,,,,
2016-09-01,Vancouver Island/Coast,COMOX VALLEY,247,238,13,1,,2,147,43,2,30,4,2,1,1,1,1,3,93729951,379473.5,325000,1361040.14,4400,,,,,
2016-10-01,Vancouver Island/Coast,COMOX VALLEY,213,199,13,3,,,107,21,1,54,7,2,1,4,3,,4,86723204,407151.2,350000,1300016.27,4500,,,,,
2016-06-01,Vancouver Island/Coast,COWICHAN VALLEY,379,367,30,3,4,,283,37,,10,3,1,1,1,5,1,3,143205973,377852.2,349000,2076464.52,4824,,,,,
2016-07-01,Vancouver Island/Coast,COWICHAN VALLEY,324,318,24,2,2,1,251,33,1,4,2,1,,1,1,1,2,122792456,378989.1,352500,1774024.39,4879,,,,,
2016-08-01,Vancouver Island/Coast,COWICHAN VALLEY,249,245,26,3,4,,161,36,1,14,3,2,,1,1,,,92465962,371349.2,347500,1323694.16,4790,,,,,
2016-09-01,Vancouver Island/Coast,COWICHAN VALLEY,243,227,22,,2,2,135,24,2,40,13,8,3,2,2,1,,91121887,374987.2,320000,1331979.78,4180,,,,,
2016-10-01,Vancouver Island/Coast,COWICHAN VALLEY,172,168,12,3,1,1,86,21,1,43,4,3,,1,,,,59651759,346812.6,315750,850875.35,3925,,,,,
2016-06-01,Vancouver Island/Coast,MOUNT WADDINGTON,27,25,1,,,,20,4,,,1,,,1,,,1,5921250,219305.6,115925.7,87227.5,1159.26,,,,,
2016-07-01,Vancouver Island/Coast,MOUNT WADDINGTON,24,24,1,,,,21,2,,,,,,,,,,3746500,156104.2,157500,41440,1575,,,,,
2016-08-01,Vancouver Island/Coast,MOUNT WADDINGTON,32,31,1,,,,28,2,,,1,1,,,,,,7428675,232146.1,195000,102211.75,1950,,,,,
2016-09-01,Vancouver Island/Coast,MOUNT WADDINGTON,31,30,2,,,,22,5,,1,1,1,,,,,,5040750,162604.8,150000,59876,1500,,,,,
2016-10-01,Vancouver Island/Coast,MOUNT WADDINGTON,14,13,,,,,8,3,,2,1,,,1,,,,2843150,203082.1,147500,38770.5,1475,,,,,
2016-06-01,Vancouver Island/Coast,NANAIMO,918,873,51,5,1,3,544,142,80,47,25,6,16,3,14,,6,344553973,375331.1,340500,4970424.73,4570,49,19646120,400941.2,418500,
2016-07-01,Vancouver Island/Coast,NANAIMO,683,657,39,3,1,2,439,116,8,49,9,6,1,2,17,,,271994314,398234.7,360000,4028292.31,4920,30,12987362,432912.1,424900,
2016-08-01,Vancouver Island/Coast,NANAIMO,758,740,42,4,2,2,506,129,5,50,10,7,2,1,4,1,3,338778939,446937.9,369950,5325634.34,4920,24,13916857,579869,539000,
2016-09-01,Vancouver Island/Coast,NANAIMO,635,607,28,3,2,5,345,98,11,115,22,9,10,3,4,,2,242830096,382409.6,330000,3548347.38,4300,25,14152700,566108,518400,
2016-10-01,Vancouver Island/Coast,NANAIMO,551,539,33,1,,1,249,69,3,183,8,1,1,6,4,,,219584951,398520.8,363000,3098474.09,4900,25,17134211,685368.4,540000,
2016-06-01,Vancouver Island/Coast,POWELL RIVER,87,82,10,,,,63,6,,3,3,2,,1,1,,1,24568800,282400,255000,332869.45,3100,,,,,
2016-07-01,Vancouver Island/Coast,POWELL RIVER,96,90,11,,,3,69,3,,4,4,1,,3,2,,,23734258,247231.9,210750,318639.67,2215,,,,,
2016-08-01,Vancouver Island/Coast,POWELL RIVER,81,79,7,,1,1,61,2,,7,1,1,,,,,1,22888683,282576.3,269900,296548.9,3000,,,,,
2016-09-01,Vancouver Island/Coast,POWELL RIVER,58,56,4,,,1,39,3,,9,2,,,2,,,,17103350,294885.3,268950,215685.25,3280,,,,,
2016-10-01,Vancouver Island/Coast,POWELL RIVER,57,55,2,1,1,,30,4,,17,1,1,,,,1,,16261813,285295,265000,220864.01,3300,,,,,
2016-06-01,Vancouver Island/Coast,STRATHCONA,163,157,2,,,1,129,23,,2,4,2,,2,2,,,49531225,303872.5,280500,657485.5,3200,,,,,
2016-07-01,Vancouver Island/Coast,STRATHCONA,140,138,1,,,,113,19,,5,2,2,,,,,,47381750,338441.1,303950,680960.74,3740,,,,,
2016-08-01,Vancouver Island/Coast,STRATHCONA,165,161,7,1,,2,121,27,,3,4,3,,1,,,,52004055,315176.1,299900,687277.23,3518,,,,,
2016-09-01,Vancouver Island/Coast,STRATHCONA,159,156,7,3,,,101,21,,24,2,2,,,1,,,45382521,285424.7,272500,571405.91,3200,,,,,
2016-10-01,Vancouver Island/Coast,STRATHCONA,144,139,3,1,,,92,12,,31,1,1,,,4,,,41892776,290922.1,281000,537379.43,3398,,,,,
2016-06-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,367,138311865,376871.6,281000,
2016-07-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,137,58851585,429573.6,315000,
2016-08-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,82,72623507,885652.5,420750,
2016-09-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,131,64878213,495253.5,220000,
2016-10-01,Rest of province,Rest of province,,,,,,,,,,,,,,,,,,,,,,,113,44908516,397420.5,208000,
2016-11-01,Cariboo,CARIBOO,133,117,24,5,5,1,77,3,,2,8,5,,3,2,5,1,26126295,196438.3,170000,334494.71,1700,,,,,
2016-11-01,Cariboo,FRASER-FORT GEORGE,180,168,34,2,2,3,105,9,1,12,5,2,,3,3,3,1,42600281,236668.2,211500,507030.56,1800,,,,,
2016-11-01,Kootenay,CENTRAL KOOTENAY,126,120,18,3,3,,81,8,,7,2,2,,,2,2,,30401522,241281.9,230000,390736.11,2400,,,,,
2016-11-01,Kootenay,EAST KOOTENAY,222,188,22,3,3,6,99,52,,3,19,17,,2,8,4,3,83051006,374103.6,239500,1510418.1,2790,,,,,
2016-11-01,Kootenay,KOOTENAY BOUNDARY,74,72,6,1,1,,55,8,,1,2,1,,1,,,,12457521,168344.9,135500,155539.2,1355,,,,,
2016-11-01,Mainland/Southwest,FRASER VALLEY,870,849,33,5,14,6,377,261,8,145,12,7,2,3,6,2,1,408335017,469350.6,389949.5,6283624.06,5000,,,,,
2016-11-01,Mainland/Southwest,METRO VANCOUVER,5120,5013,44,16,11,38,1358,2214,34,1298,99,33,46,20,1,2,5,4559759521,890578,549000,109307455.3,8616.35,209,212438644,1016452.8,544000,24064623
2016-11-01,Mainland/Southwest,SQUAMISH-LILLOOET,247,219,11,2,2,,67,90,22,25,14,2,8,4,14,,,191094732,773662.9,492000,3525217.43,7840,,,,,
2016-11-01,Mainland/Southwest,SUNSHINE COAST,77,73,6,1,1,,44,14,,7,1,,,1,2,,1,38575799,500984.4,447000,600980.9,6300,,,,,
2016-11-01,Nechako & North Coast,BULKLEY-NECHAKO,67,62,22,1,,,33,2,,4,2,1,,1,,2,1,12250785,182847.5,135000,156823.28,1350,,,,,
2016-11-01,Nechako & North Coast,KITIMAT-STIKINE,45,45,9,1,,,33,2,,,,,,,,,,9226982,205044,205000,111561,1650,,,,,
2016-11-01,Nechako & North Coast,NORTH COAST,42,40,1,,,,36,3,,,1,1,,,1,,,6616363,157532.5,129500,82808.63,1295,,,,,
2016-11-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,134,108,15,,1,,76,9,,7,10,9,,1,,16,,43615141,325486.1,239950,680108.83,2549,,,,,
