trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-06-01,Cariboo,CARIBOO,296,243,81,3,11,6,130,7,,5,8,8,,,8,31,6,68816450,232488,215000,928439.28,2300,,,,,
2016-07-01,Cariboo,CARIBOO,230,214,77,3,5,1,119,8,,1,6,4,,2,8,2,,45903239,199579.3,174950,586470.75,1749.5,,,,,
2016-08-01,Cariboo,CARIBOO,209,192,60,1,2,1,119,7,,2,1,1,,,4,12,,43721579,209194.2,213500,557357.77,2270,,,,,
2016-09-01,Cariboo,CARIBOO,208,194,54,3,5,3,105,8,,16,6,4,,2,2,4,2,42175649,202767.5,165000,556078.36,1650,,,,,
2016-10-01,Cariboo,CARIBOO,166,158,41,,7,1,70,5,1,33,3,1,,2,3,,2,35497188,213838.5,187500,478197.09,1875,,,,,
2016-06-01,Cariboo,FRASER-FORT GEORGE,342,324,56,2,2,3,233,20,,8,15,12,,3,2,1,,97535901,285192.7,261750,1287802.09,3020,,,,,
2016-07-01,Cariboo,FRASER-FORT GEORGE,289,279,45,1,2,3,182,21,,25,5,5,,,4,1,,75992233,262948.9,240000,1018373.08,2580,,,,,
2016-08-01,Cariboo,FRASER-FORT GEORGE,278,265,50,1,1,1,189,17,,6,5,4,,1,5,1,2,71959637,258847.6,240000,979119.3,2780,,,,,
2016-09-01,Cariboo,FRASER-FORT GEORGE,255,248,29,6,1,1,169,26,,16,4,3,,1,3,,,65850157,258235.9,242000,843675.26,2680,,,,,
2016-10-01,Cariboo,FRASER-FORT GEORGE,256,241,46,1,4,1,146,8,,35,11,6,,5,,2,2,65294161,255055.3,243250,836407.11,2650,,,,,
2016-06-01,Kootenay,CENTRAL KOOTENAY,240,228,57,6,1,3,143,14,,4,10,9,,1,2,,,67478500,281160.4,247500,968570.9,2860,,,,,
2016-07-01,Kootenay,CENTRAL KOOTENAY,198,195,45,3,4,,132,10,,1,,,,,2,1,,48520754,245054.3,223786.3,651028.96,2425.725,,,,,
2016-08-01,Kootenay,CENTRAL KOOTENAY,183,173,34,4,,1,118,12,,4,6,6,,,2,,2,54322788,296845.8,269500,729179.78,3165,,,,,
2016-09-01,Kootenay,CENTRAL KOOTENAY,170,166,30,4,1,2,99,15,,15,1,1,,,3,,,47669300,280407.6,265625,649897.99,3100,,,,,
2016-10-01,Kootenay,CENTRAL KOOTENAY,180,168,19,2,1,,77,8,,61,2,2,,,7,2,1,52128342,289601.9,279275,631582.29,3145,,,,,
2016-06-01,Kootenay,EAST KOOTENAY,241,227,13,2,2,2,160,43,,5,8,6,,2,6,,,63501483,263491.6,230000,867009.13,2600,,,,,
2016-07-01,Kootenay,EAST KOOTENAY,184,168,8,1,2,2,118,28,,9,5,5,,,11,,,48381121,262940.9,242140,655515.79,2770,,,,,
2016-08-01,Kootenay,EAST KOOTENAY,169,157,7,,1,4,103,35,1,6,7,4,,3,3,1,1,55985018,331272.3,244500,870319.18,2580,,,,,
2016-09-01,Kootenay,EAST KOOTENAY,213,202,9,3,3,1,122,36,2,26,6,4,,2,4,,1,63734149,299221.4,252000,903845.47,3040,,,,,
2016-10-01,Kootenay,EAST KOOTENAY,206,191,14,1,,,119,26,1,30,5,4,,1,8,1,1,52387782,254309.6,225500,705243.09,2469,,,,,
2016-06-01,Kootenay,KOOTENAY BOUNDARY,150,144,21,2,2,,101,16,1,1,2,2,,,3,1,,33702632,224684.2,212500,432377.32,2160,,,,,
2016-07-01,Kootenay,KOOTENAY BOUNDARY,101,94,15,1,1,,65,10,,2,2,1,,1,5,,,22481030,222584.5,205000,289362.16,2100,,,,,
2016-08-01,Kootenay,KOOTENAY BOUNDARY,90,83,12,,,1,61,8,,1,7,7,,,,,,19267867,214087.4,169500,248353.67,1695,,,,,
2016-09-01,Kootenay,KOOTENAY BOUNDARY,86,77,3,,,,62,5,,7,7,4,,3,2,,,18939982,220232.3,181000,248459.27,1800,,,,,
2016-10-01,Kootenay,KOOTENAY BOUNDARY,79,74,6,1,,,56,,,11,3,2,,1,1,,1,14772131,186989,160000,173906.98,1572,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,1528,1496,54,12,33,4,929,390,4,70,16,12,1,3,9,7,,735688884,481471.8,425000,11470212.27,6000,83,38051253,458448.8,427000,
2016-07-01,Mainland/Southwest,FRASER VALLEY,1431,1385,43,2,19,6,862,370,8,75,27,19,2,6,13,6,,662586029,463023.1,424900,10069761,5900,46,24569461,534118.7,525000,
