trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-01,Cariboo,CARIBOO,64,41,20,,1,,16,4,,,,,,,2,21,,11625343,181646,150000,148887.51,1500
2016-06-08,Cariboo,CARIBOO,45,40,14,2,3,,19,1,,1,2,2,,,1,2,,9047015,201044.8,175000,119627.05,1750
2016-06-15,Cariboo,CARIBOO,50,45,12,,2,4,24,1,,2,2,2,,,2,,1,14664389,293287.8,236500,211009.5,2730
2016-06-22,Cariboo,CARIBOO,137,117,35,1,5,2,71,1,,2,4,4,,,3,8,5,33479703,244377.4,232500,448915.22,2650
2016-07-01,Cariboo,CARIBOO,25,23,9,,2,,11,1,,,,,,,2,,,4000650,160026,157000,49179,1570
2016-07-08,Cariboo,CARIBOO,50,47,19,1,,,22,5,,,,,,,3,,,8190413,163808.3,119750,100881,1197.5
2016-07-15,Cariboo,CARIBOO,61,54,23,1,1,,28,,,1,5,3,,2,2,,,12712136,208395.7,198000,161625.36,1980
2016-07-22,Cariboo,CARIBOO,94,90,26,1,2,1,58,2,,,1,1,,,1,2,,21000039,223404.7,207500,274785.39,2150
2016-08-01,Cariboo,CARIBOO,31,25,11,,,,14,,,,,,,,,6,,6055800,195348.4,193000,74326,1930
2016-08-08,Cariboo,CARIBOO,37,36,11,,,,22,2,,1,1,1,,,,,,7085750,191506.8,196000,89058.5,1960
2016-08-15,Cariboo,CARIBOO,64,58,15,1,,,39,3,,,,,,,2,4,,14115079,220548.1,230500,188461.27,2610
2016-08-22,Cariboo,CARIBOO,77,73,23,,2,1,44,2,,1,,,,,2,2,,16464950,213830.5,215000,205512,2300
2016-09-01,Cariboo,CARIBOO,44,42,13,2,1,1,24,1,,,,,,,1,,1,7312511,166193.4,158500,83749.11,1585
2016-09-08,Cariboo,CARIBOO,24,22,8,,2,1,10,1,,,,,,,,2,,4042001,168416.7,128500,53640.01,1285
2016-09-15,Cariboo,CARIBOO,55,48,18,,1,,24,5,,,4,2,,2,1,1,1,9753550,177337.3,140000,123815.5,1400
2016-09-22,Cariboo,CARIBOO,85,82,15,1,1,1,47,1,,16,2,2,,,,1,,21067588,247854,210000,294873.74,2200
2016-10-01,Cariboo,CARIBOO,36,34,6,,,,23,1,,4,,,,,2,,,5402476,150068.8,112500,64634.76,1125
2016-10-08,Cariboo,CARIBOO,33,31,11,,2,,13,,1,4,,,,,,,2,6152072,186426.4,183700,76265.73,1837
2016-10-15,Cariboo,CARIBOO,37,34,7,,3,1,21,1,,1,2,,,2,1,,,6927523,187230.4,130000,90901.43,1300
2016-10-22,Cariboo,CARIBOO,60,59,17,,2,,13,3,,24,1,1,,,,,,17015117,283585.3,236000,246395.17,2720
2016-06-01,Cariboo,FRASER-FORT GEORGE,70,63,11,1,1,2,44,1,,3,7,4,,3,,,,19615252,280217.9,230000,246280.96,2340
