trans_period,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,no_foreign_res,no_foreign_comm,no_foreign_oth,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,no_lt1M_foreign,no_gt1M_foreign,no_gt3M_foreign,add_tax_paid
2016-06-01,19734,19007,890,85,193,136,10004,5796,277,1626,429,222,117,90,142,107,49,14629843157,741352.1,455000,273602949,6700,1494,1407,68,19,1334731937,893394.9,532750,1141,286,67,
2016-07-01,17951,17446,722,69,103,120,9087,5478,91,1776,285,123,106,56,122,50,48,13045955026,726753.7,469900,237410177,7000,1620,1578,21,21,1910270115,1179179.1,719000,1065,460,95,
2016-08-01,16304,15807,722,98,121,103,8234,5038,96,1395,301,139,99,63,87,76,33,11008931056,675228.8,450000,198612617,6699,254,228,10,16,234150750,921853.3,562500,195,47,12,2342545
2016-09-01,14158,13505,681,73,105,107,6068,4126,120,2225,405,217,97,91,119,84,45,9586326752,677096.1,420850,183939645,6000,374,283,61,30,481126471,1286434.4,555000,268,59,47,8906680
2016-10-01,11688,11128,495,52,77,63,4115,2671,76,3579,313,107,46,160,108,64,75,6900292687,590374.1,408825,130173381,5609,378,329,26,23,292073102,772680.2,529450,296,71,11,13326867
2016-11-01,11478,10942,555,76,84,90,4646,3537,103,1851,313,135,109,69,105,74,44,7305686989,636494.8,425000,152234331,5820,395,350,14,31,318507284,808394.1,516650,304,82,8,24064623
2016-12-01,9336,8817,424,75,60,67,3643,3118,169,1261,333,167,99,67,72,80,34,6213865116,665581.1,390000,130160264,5020,386,329,22,35,291037133,753982.2,448321,329,48,9,15642591
2017-01-01,7826,7378,307,45,43,65,2708,2406,73,1731,275,128,67,80,101,53,19,5351398800,683797.4,429694.5,115347335,6000,335,273,4,58,238366333,711541.3,490900,289,36,10,17764387.97
2017-02-01,7795,7351,348,46,45,74,3088,2659,75,1016,270,131,101,38,81,73,20,6223152953,798351.9,417900,134242237,5600,289,253,11,25,192810558,667164.6,500000,241,42,6,10274145.41
2017-03-01,10809,10277,479,72,76,109,4446,3664,104,1327,306,153,88,65,107,84,35,7078500348,654871,428000,138781831,5900,341,289,14,38,422809717,1239911,479900,274,53,14,12743545.59
2017-04-01,9773,9331,446,64,65,65,4218,3388,138,947,223,105,81,37,109,74,36,6647668761,680207.6,440000,130994496,6398,259,231,5,23,270837754,1045706,476095.2,205,42,12,10319700.54
2017-05-01,14824,14260,644,86,66,130,6495,5099,245,1495,308,138,115,55,127,81,48,9794458601,660716.3,449900,189102889,6500,436,402,5,29,373061739,855646.2,575000,348,75,13,15873934.34
2017-06-01,16987,16317,830,91,89,110,7860,5552,135,1650,406,165,169,72,125,100,39,12197806035,718067.1,482500,245517582,7210,466,432,15,19,592376661,1271195,618500,346,95,25,23984703.29
2017-07-01,15390,14842,644,91,92,102,7054,4988,107,1764,319,146,122,51,81,91,57,11148719881,724413.2,511896.4,220357838,7800,449,417,8,24,437278595,973894.4,614500,340,92,17,21571569.8
2017-08-01,16556,16077,715,72,109,103,7518,5330,148,2082,259,130,75,54,109,67,44,11574113068,699088.7,501000,224128391,7580,474,451,9,14,415302114,876164.8,596500,373,89,12,21736517.64
2017-09-01,13823,13313,657,95,112,86,5852,4208,103,2200,274,121,70,83,95,96,45,9620602008,695985.1,480000,196581347,7021,511,490,10,11,394521917,772058.5,540274,421,77,13,24878313.54
2017-10-01,13008,12306,653,99,78,93,5603,4195,108,1477,464,259,70,135,108,86,44,9569137464,735634.8,497750,194985005,7400,354,321,15,18,386542513,1091928,619950,280,51,23,18924393.48
