trans_period,DevelopmentRegion,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-06-01,Cariboo,134,104,31,1,2,2,60,5,,3,7,4,,3,2,21,,31240594,233138.8,201000,395168.47,1855,,,,,
2016-06-08,Cariboo,94,82,22,2,3,,50,3,,2,8,8,,,2,2,,25393924,270148.1,224000,362300.54,2430,,,,,
2016-06-15,Cariboo,115,107,24,,2,5,66,8,,2,4,4,,,2,1,1,32111390,279229.5,265000,430729.13,3190,,,,,
2016-06-22,Cariboo,295,274,60,2,6,2,187,11,,6,4,4,,,4,8,5,77606443,263072.7,249000,1028043.23,2978,,,,,
2016-07-01,Cariboo,71,67,21,,2,,34,5,,5,,,,,4,,,16531921,232844,216000,203494,2300,,,,,
2016-07-08,Cariboo,127,120,32,1,,3,69,12,,3,1,1,,,5,1,,27700473,218114,210000,350991.2,2080,,,,,
2016-07-15,Cariboo,135,124,33,1,2,,69,3,,16,9,7,,2,2,,,33412328,247498.7,192500,485109.06,1870,,,,,
2016-07-22,Cariboo,186,182,36,2,3,1,129,9,,2,1,1,,,1,2,,44250749,237907.3,225000,565249.57,2409,,,,,
2016-08-01,Cariboo,80,70,16,1,,1,48,2,,2,2,2,,,,6,2,23274831,290935.4,222500,345065.62,2450,,,,,
2016-08-08,Cariboo,76,74,23,,,,45,4,,2,1,1,,,,1,,15124750,199009.9,211250,191986.5,2225,,,,,
2016-08-15,Cariboo,131,124,31,1,1,,84,5,,2,1,,,1,2,4,,31966487,244019,235500,433873.64,2710,,,,,
2016-08-22,Cariboo,200,189,40,,2,1,131,13,,2,2,2,,,7,2,,45315148,226575.7,220000,565551.31,2400,,,,,
2016-09-01,Cariboo,98,96,20,3,1,1,59,10,,2,,,,,1,,1,20590283,210104.9,185000,246262.53,1835,,,,,
2016-09-08,Cariboo,71,68,14,,2,1,45,4,,2,,,,,1,2,,15481772,218053.1,220000,199628.44,2400,,,,,
2016-09-15,Cariboo,110,101,25,,1,,66,8,,1,6,4,,2,1,1,1,23563686,214215.3,175000,295928.03,1707.5,,,,,
2016-09-22,Cariboo,184,177,24,6,2,2,104,12,,27,4,3,,1,2,1,,48390066,262989.5,244500,657934.62,2820,,,,,
2016-10-01,Cariboo,86,81,13,,,,59,1,,8,3,2,,1,2,,,16787796,195206.9,177500,202564.34,1636.205,,,,,
2016-10-08,Cariboo,100,93,31,,6,,43,4,1,8,2,2,,,,2,3,22247506,222475.1,210000,286215.77,2085.5,,,,,
2016-10-15,Cariboo,81,77,16,,3,1,51,3,,3,2,,,2,1,,1,17749384,219128.2,230000,216754.87,2140,,,,,
2016-10-22,Cariboo,155,148,27,1,2,1,63,5,,49,7,3,,4,,,,44006662,283913.9,255000,609069.22,2820,,,,,
2016-06-01,Kootenay,131,126,20,3,2,2,75,21,,3,2,2,,,3,,,32871117,250924.6,232000,439107.76,2500,,,,,
2016-06-08,Kootenay,78,71,14,1,,,49,5,,2,7,6,,1,,,,21496248,275592.9,245000,303154.72,2900,,,,,
2016-06-15,Kootenay,132,127,18,3,3,2,83,17,,1,3,2,,1,2,,,32490820,246142.6,229450,429137.8,2539,,,,,
2016-06-22,Kootenay,290,275,39,3,,1,197,30,1,4,8,7,,1,6,1,,77824430,268360.1,239000,1096557.07,2700,,,,,
2016-07-01,Kootenay,56,52,5,2,1,,38,5,,1,,,,,4,,,11924063,212929.7,203125,154332.13,2062.5,,,,,
2016-07-08,Kootenay,91,87,17,,,,58,11,,1,1,1,,,2,1,,21531165,236606.2,225000,276157.87,2451.45,,,,,
2016-07-15,Kootenay,131,126,22,3,3,,79,12,,7,1,1,,,4,,,32498163,248077.6,218000,427772.3,2300,,,,,
2016-07-22,Kootenay,205,192,24,,3,2,140,20,,3,5,4,,1,8,,,53429513,260631.8,237000,737644.61,2720,,,,,
2016-08-01,Kootenay,83,78,10,,,,55,13,,,4,3,,1,,,1,32057616,386236.3,284900,525431.3,3530,,,,,
2016-08-08,Kootenay,63,56,11,2,,3,35,5,,,5,4,,1,1,1,,15607711,247741.4,227500,209713.61,2550,,,,,
2016-08-15,Kootenay,126,120,11,1,1,1,86,17,,3,5,5,,,1,,,35209797,279442.8,242250,488748.51,2720,,,,,
2016-08-22,Kootenay,170,159,21,1,,2,106,20,1,8,6,5,,1,3,,2,46700549,274709.1,226500,623959.21,2365,,,,,
2016-09-01,Kootenay,99,94,8,,,1,66,19,,,4,4,,,1,,,27900972,281828,250000,383462.95,3000,,,,,
2016-09-08,Kootenay,67,67,5,1,2,,52,7,,,,,,,,,,17628602,263113.5,225000,232999.33,2400,,,,,
2016-09-15,Kootenay,97,93,10,1,1,2,64,10,,5,,,,,4,,,23865590,246037,209900,322976.66,2008,,,,,
2016-09-22,Kootenay,206,191,19,5,1,,101,20,2,43,10,5,,5,4,,1,60948266,295865.4,261375,862763.79,3227.5,,,,,
2016-10-01,Kootenay,85,78,13,1,,,48,8,1,7,2,1,,1,4,,1,18483815,217456.6,164500,246617.67,1625,,,,,
2016-10-08,Kootenay,120,114,12,1,,,88,7,,6,2,2,,,3,,1,28726029,239383.6,223000,363144.75,2410,,,,,
2016-10-15,Kootenay,75,63,5,1,1,,33,7,,16,2,2,,,7,2,1,18042661,240568.8,221900,224874.36,2200,,,,,
2016-10-22,Kootenay,185,178,9,1,,,83,12,,73,4,3,,1,2,1,,54035750,292085.1,278000,676095.58,3010,,,,,
2016-06-01,Mainland/Southwest,1829,1764,31,2,4,10,733,659,13,312,45,16,16,13,13,7,,2013732845,1101002.1,561000,41928982.65,8700,0,,,,
2016-06-08,Mainland/Southwest,1469,1414,22,7,3,14,568,538,10,252,43,23,14,6,10,,2,1363896460,928452.3,558000,26550731.67,8710,395,442579927,1120455.5,522900,
2016-06-15,Mainland/Southwest,2228,2165,37,5,7,15,913,873,17,298,40,10,20,10,13,7,3,2200186052,987516.2,580000,43909191.84,9218,197,207525210,1053427.5,750000,
2016-06-22,Mainland/Southwest,5891,5772,104,17,37,40,2859,2281,48,386,91,41,35,15,16,6,6,5656284577,960156.9,637500,109157076.1,10520,450,490847922,1090773.2,785000,
2016-07-01,Mainland/Southwest,1714,1673,19,7,13,17,754,689,16,158,27,14,8,5,12,1,1,1634784801,953783.4,615000,32166148.22,9905,183,294814821,1611010,575000,
2016-07-08,Mainland/Southwest,2153,2085,30,6,8,14,824,725,8,470,56,11,42,3,6,3,3,1768295094,821316.8,550000,31771978.83,8400,203,176747040,870675.1,615000,
