trans_period,DevelopmentRegion,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-07-15,Mainland/Southwest,1936,1883,26,11,5,24,808,711,25,273,33,17,8,8,10,,10,1730153720,893674.4,603947,32214836.97,9500,145,157584829,1086791.9,699900,
2016-07-22,Mainland/Southwest,5170,5079,79,6,18,28,2370,2126,21,431,74,17,37,20,5,7,5,5030799634,973075.4,633000,97253295.09,10535,898,1178582470,1312452.6,841444,
2016-08-01,Mainland/Southwest,1484,1447,23,2,6,11,604,598,10,193,31,9,15,7,4,2,,1368801550,922373,580000,26408770.84,9400,16,28375088,1773443,917750,1348.33
2016-08-08,Mainland/Southwest,1246,1211,20,13,5,8,508,487,18,152,26,8,12,6,6,2,1,1174619009,942711.9,597750,23054932.66,9560,7,4228900,604128.6,599000,227017.5
2016-08-15,Mainland/Southwest,1856,1826,20,6,11,16,715,754,21,283,24,5,13,6,,5,1,1558907106,839928.4,580000,28861856.05,9060,12,19223625,1601968.8,837450,298651.69
2016-08-22,Mainland/Southwest,4252,4154,73,20,30,27,1840,1765,21,378,70,22,34,14,6,13,9,3713297451,873306.1,595000,70823251.38,9720,66,70794564,1072644.9,585252,1815527.64
2016-09-01,Mainland/Southwest,1305,1253,22,2,4,14,473,561,18,159,36,12,18,6,11,4,1,1093214861,837712.5,540000,21602580.62,8476.19,25,18991843,759673.7,668900,1338598.67
2016-09-08,Mainland/Southwest,1139,1109,21,3,12,14,400,481,17,161,16,7,5,4,8,5,1,927169215,814020.4,553690,17677080.92,8500,15,10522300,701486.7,577000,868279.5
2016-09-15,Mainland/Southwest,1449,1369,39,3,9,8,531,547,17,215,65,33,14,18,6,7,2,1393603944,961769.5,555000,29689897.66,8800,62,114511121,1846953.6,960000,2753918.6
2016-09-22,Mainland/Southwest,3470,3338,47,11,19,16,1077,1367,32,769,116,66,24,26,6,6,4,3365210951,969801.4,530175,71355765.16,8370,98,252770774,2579293.6,1119000,3945883.55
2016-10-01,Mainland/Southwest,1027,984,21,14,4,12,311,356,9,257,36,13,11,12,3,2,2,869307412,846453.2,522187.5,17455727.7,8000,26,22185805,853300.2,570450,1127161.29
2016-10-08,Mainland/Southwest,1068,997,12,5,7,6,327,400,10,230,54,1,14,39,9,2,6,759584285,711221.2,480000,15258967.48,7299,22,23286321,1058469.1,658400,2096742.05
2016-10-15,Mainland/Southwest,1317,1286,14,2,7,10,284,404,16,549,21,7,8,6,4,1,5,934198927,709338.6,470900,19549063.59,6818,60,39133675,652227.9,494100.5,3822620.24
2016-10-22,Mainland/Southwest,2704,2577,24,3,6,9,583,801,18,1133,63,7,8,48,11,21,32,2033440633,752012.1,494950,42664292.49,7410,71,59740153,841410.6,590000,6280343.05
2016-06-01,Nechako & North Coast,61,52,11,1,,1,36,2,,1,9,9,,,,,,9904267,162365,95000,120825.17,950,,,,,
2016-06-08,Nechako & North Coast,40,34,15,,,,19,,,,4,3,,1,2,,,6506760,162669,142500,79422.5,1425,,,,,
2016-06-15,Nechako & North Coast,44,42,11,,1,1,25,2,,2,1,1,,,1,,,10240230,232732.5,196615,142257.3,1991.15,,,,,
2016-06-22,Nechako & North Coast,127,122,32,,4,2,78,3,1,2,,,,,2,2,1,28676572,225799.8,225000,372791.46,2400,,,,,
2016-07-01,Nechako & North Coast,25,24,2,1,,,19,1,,1,,,,,,1,,5335358,213414.3,204900,66710.65,2098,,,,,
2016-07-08,Nechako & North Coast,45,44,11,,,,31,1,,1,,,,,1,,,8692246,193161,167500,112777.96,1675,,,,,
2016-07-15,Nechako & North Coast,59,54,15,1,,,35,2,,1,1,1,,,,3,1,11168900,189303.4,180000,142754.5,1800,,,,,
2016-07-22,Nechako & North Coast,96,88,19,4,2,,61,1,,1,5,5,,,2,1,,19248889,200509.3,169350,245695.26,1590,,,,,
2016-08-01,Nechako & North Coast,29,25,5,1,,,19,,,,3,3,,,,,1,8873717,305990.2,235000,130597.35,2700,,,,,
2016-08-08,Nechako & North Coast,43,39,8,,3,,26,2,,,3,3,,,1,,,11818640,274852.1,205000,172639.8,1750,,,,,
2016-08-15,Nechako & North Coast,46,45,12,2,,,31,,,,,,,,,,1,10278904,223454.4,210572.5,131529.49,2211.45,,,,,
2016-08-22,Nechako & North Coast,78,75,17,5,,,51,,,2,2,2,,,,,1,16230900,208088.5,193500,208900,1935,,,,,
2016-09-01,Nechako & North Coast,41,33,7,,1,,24,1,,,,,,,,1,7,8345788,203555.8,200000,104537.87,2000,,,,,
2016-09-08,Nechako & North Coast,36,32,7,,1,2,20,1,,1,2,2,,,,,2,7012439,194790,192500,85592.39,1925,,,,,
2016-09-15,Nechako & North Coast,41,37,12,,,,22,1,,2,2,2,,,,1,1,6653400,162278,144000,83354,1440,,,,,
2016-09-22,Nechako & North Coast,80,73,11,4,1,,44,2,,11,1,,,1,1,2,3,15028351,187854.4,162500,190734.03,1625,,,,,
2016-10-01,Nechako & North Coast,23,23,4,,,,17,1,,1,,,,,,,,3872415,168365.9,145000,48429.15,1450,,,,,
2016-10-08,Nechako & North Coast,34,31,5,,,,21,3,1,1,3,3,,,,,,6749100,198503,190750,79935.67,1870,,,,,
2016-10-15,Nechako & North Coast,25,22,2,1,,,17,,,2,1,1,,,2,,,4518421,180736.8,200000,54883.02,2000,,,,,
2016-10-22,Nechako & North Coast,51,47,6,,2,,23,,,16,3,,,3,,1,,13311215,261004.2,244000,187700.15,2880,,,,,
2016-06-01,Northeast,23,20,2,,1,,10,3,1,3,,,,,,3,,5319225,231270.6,194000,67958.85,1850,,,,,
2016-06-08,Northeast,38,23,4,,,,13,2,,4,7,3,,4,,8,,12722886,334812.8,254500,186657.25,2960.25,,,,,
2016-06-15,Northeast,35,29,4,1,2,,16,,,6,1,1,,,1,1,3,9573128,273517.9,250000,135059.16,3000,,,,,
2016-06-22,Northeast,46,42,2,,,,33,3,1,3,,,,,,3,1,14188725,308450.5,296356.6,163820.9,3040,,,,,
2016-07-01,Northeast,16,13,2,,,,11,,,,,,,,1,2,,4839463,302466.5,293000,70888.07,3860,,,,,
2016-07-08,Northeast,26,18,2,1,,,15,,,,1,1,,,,6,1,4704483,180941.7,120000,61954.83,1200,,,,,
2016-07-15,Northeast,25,24,4,,3,,17,,,,1,1,,,,,,8093700,323748,325000,112594,3486,,,,,
2016-07-22,Northeast,46,36,9,,1,,23,2,,1,2,1,,1,,8,,11250746,244581.4,227500,139143,2181,,,,,
2016-08-01,Northeast,24,14,2,,1,,10,,,1,8,5,,3,,2,,29781556,1240898.2,358750,684002.43,4850,,,,,
2016-08-08,Northeast,23,19,2,,1,,14,2,,,4,3,,1,,,,10890142,473484.4,335000,166831.5,3560,,,,,
2016-08-15,Northeast,25,22,6,,,,15,1,,,2,2,,,,1,,6814454,272578.2,225000,92296.3,2180,,,,,
2016-08-22,Northeast,44,38,2,,,,32,1,,3,,,,,1,4,1,12137588,275854.3,252000,136936.29,2475,,,,,
2016-09-01,Northeast,21,19,2,,1,,14,1,1,,1,1,,,,1,,9220038,439049.4,325000,162144.07,4500,,,,,
2016-09-08,Northeast,22,18,1,,3,,13,,,1,1,,,1,,3,,4660348,211834,169950,63042.63,1699.5,,,,,
2016-09-15,Northeast,25,24,3,,1,,19,,,1,1,1,,,,,,9368382,374735.3,305000,110738.75,3000,,,,,
2016-09-22,Northeast,59,46,8,1,,,22,4,,11,2,2,,,1,10,,13447175,227918.2,199300,172666.67,1750,,,,,
2016-10-01,Northeast,26,21,2,,1,,15,,1,2,1,1,,,,3,1,5739855,220763.7,240000,74982.5,2800,,,,,
2016-10-08,Northeast,20,16,2,,,,12,1,1,,4,4,,,,,,6298486,314924.3,263250,74650,2150,,,,,
2016-10-15,Northeast,25,19,5,,,,11,,,3,,,,,1,5,,5405351,216214,255000,69487.05,2000,,,,,
2016-10-22,Northeast,49,40,5,,1,,26,,,8,5,2,,3,,3,1,49873210,1017820.6,260000,1239099.18,3100,,,,,
2016-06-01,Thompson/Okanagan,494,465,34,2,10,3,305,92,2,17,11,9,,2,7,9,2,214084583,433369.6,360000,3353940.01,4969,,,,,
2016-06-08,Thompson/Okanagan,370,340,36,3,4,2,211,69,,15,20,15,1,4,5,3,2,146240713,395245.2,317750,2207710.18,3949,,,,,
2016-06-15,Thompson/Okanagan,509,482,28,5,8,1,320,94,2,24,13,11,,2,3,9,2,232689005,457149.3,386500,3610361.18,5374,,,,,
2016-06-22,Thompson/Okanagan,1367,1330,81,7,81,8,814,283,2,54,16,11,2,3,7,9,5,580623703,424743,364000,8902739.99,5090,,,,,
2016-07-01,Thompson/Okanagan,327,321,19,2,2,1,224,61,1,11,4,2,1,1,1,1,,150767120,461061.5,409900,2313899.91,5798,,,,,
2016-07-08,Thompson/Okanagan,525,509,33,1,5,1,334,112,,23,4,4,,,6,4,2,220675848,420334.9,369000,3251050.55,5020,,,,,
2016-07-15,Thompson/Okanagan,503,482,39,1,8,3,312,96,3,20,7,5,1,1,6,3,5,219682764,436745.1,344000,3485010.03,4640,,,,,
2016-07-22,Thompson/Okanagan,1044,1017,55,5,14,4,623,233,1,82,12,10,1,1,12,3,,440865640,422285.1,362116,6649083.94,5000,,,,,
2016-08-01,Thompson/Okanagan,437,426,31,,2,1,257,105,2,28,10,6,2,2,,1,,196927204,450634.3,375000,3039726.25,5198,,,,,
2016-08-08,Thompson/Okanagan,343,326,20,2,8,2,193,85,1,15,8,3,,5,5,4,,131843269,384382.7,330000,1960721.45,4500,,,,,
2016-08-15,Thompson/Okanagan,649,619,29,7,10,1,386,129,2,55,7,3,2,2,17,3,3,272427187,419764.5,369999,4083732.47,5160,,,,,
2016-08-22,Thompson/Okanagan,1106,1071,45,12,15,2,682,249,3,63,18,10,4,4,3,12,2,479448692,433497.9,374944,7324295.03,5199.9,,,,,
2016-09-01,Thompson/Okanagan,449,425,35,,4,2,241,112,1,30,12,9,1,2,6,4,2,190562208,424414.7,347900,2928394.25,4740,,,,,
2016-09-08,Thompson/Okanagan,369,355,30,1,2,2,204,84,1,31,10,4,5,1,3,1,,147369884,399376.4,358000,2143733.52,4800,,,,,
2016-09-15,Thompson/Okanagan,454,435,23,2,10,,271,89,4,36,8,5,3,,8,2,1,193351649,425884.7,349900,2975770.12,4480,,,,,
2016-09-22,Thompson/Okanagan,1095,1041,57,11,9,8,510,228,4,214,35,22,7,6,11,6,2,495299775,452328.6,359000,7882268.24,5000,,,,,
2016-10-01,Thompson/Okanagan,356,336,25,2,7,2,177,70,1,52,15,12,,3,5,,,162081676,455285.6,345000,2575836.03,4539,,,,,
2016-10-08,Thompson/Okanagan,391,374,18,1,6,3,229,76,,41,7,4,1,2,5,5,,156368927,399920.5,354000,2294549.37,4700,,,,,
2016-10-15,Thompson/Okanagan,351,342,17,2,11,3,216,56,1,36,3,2,,1,1,5,,148513444,423115.2,351000,2294760.45,4900,,,,,
2016-10-22,Thompson/Okanagan,735,698,26,3,5,3,251,113,5,292,21,8,1,12,8,4,4,335805172,456877.8,375000,5296454.6,5269.2,,,,,
2016-06-01,Unknown/Rural,52,41,12,1,,,22,,,6,2,,,2,5,3,1,19605274,377024.5,370000,291314.48,5050,,,,,
2016-06-08,Unknown/Rural,31,27,9,,,,8,,,10,1,,,1,1,1,1,12154575,392083.1,317000,181915.5,3950,,,,,
2016-06-15,Unknown/Rural,43,38,6,,1,,21,2,,8,3,2,1,,1,,1,18322419,426102.8,380000,276085.39,5238.1,,,,,
2016-06-22,Unknown/Rural,121,111,27,2,2,,54,2,,24,4,,2,2,6,,,51986306,429638.9,341000,790670.89,4700,,,,,
2016-07-01,Unknown/Rural,27,27,5,,,,17,,,5,,,,,,,,10698975,396258.3,359000,162047.5,5180,,,,,
2016-07-08,Unknown/Rural,56,51,13,,,,22,,3,13,1,1,,,2,1,1,22615892,403855.2,355000,334710.38,4380.95,,,,,
2016-07-15,Unknown/Rural,47,45,10,,1,,27,1,,6,1,,,1,1,,,17106286,363963.5,310000,266599.72,3998,,,,,
2016-07-22,Unknown/Rural,113,97,17,,2,,47,3,,28,1,,,1,3,,12,55537124,491479,382500,873537.08,5610,,,,,
2016-08-01,Unknown/Rural,138,125,19,1,1,,76,25,,3,4,,4,,4,4,1,62250150,451088,317500,1058270.8,4250,,,,,
2016-08-08,Unknown/Rural,101,92,21,,1,,55,12,1,2,1,1,,,7,1,,47395894,469266.3,364761.9,773991.08,5000,,,,,
2016-08-15,Unknown/Rural,120,109,20,1,1,,65,12,,10,2,1,,1,7,1,1,48687674,405730.6,330000,826401.21,4150,,,,,
2016-08-22,Unknown/Rural,256,243,38,2,6,,155,38,1,3,3,3,,,4,5,1,112028612,437611.8,364500,1736496.41,4790,,,,,
2016-09-01,Unknown/Rural,106,95,28,1,2,,46,11,1,6,2,2,,,7,1,1,41430776,390856.4,291000,652549.76,3820,,,,,
2016-09-08,Unknown/Rural,71,65,16,1,2,,43,,1,2,,,,,5,,1,24786176,349101.1,210000,383199.77,2200,,,,,
2016-09-15,Unknown/Rural,119,111,34,,3,,64,8,,2,1,,1,,2,4,1,36839206,309573.2,239000,535360.75,2600,,,,,
2016-09-22,Unknown/Rural,263,217,38,2,3,,102,15,1,56,4,,2,2,19,17,6,105321980,400463.8,310000,1675211.51,3900,,,,,
2016-10-01,Unknown/Rural,95,82,21,1,,,44,4,1,11,3,2,,1,9,1,,33118729,348618.2,250000,491800.07,2800,,,,,
2016-10-08,Unknown/Rural,75,65,18,,1,,36,3,,7,1,1,,,6,2,1,19018517,253580.2,227500,260780.56,2333.33,,,,,
2016-10-15,Unknown/Rural,88,72,19,,3,,40,3,1,6,1,,1,,5,3,7,22675860,257680.2,206250,326416.61,2125,,,,,
2016-10-22,Unknown/Rural,161,153,32,,,,51,5,,65,2,,,2,6,,,65067662,404147,310000,1024861.22,3900,,,,,
2016-06-01,Vancouver Island/Coast,578,552,27,2,1,5,344,121,5,47,16,4,11,1,8,1,1,273715060,473555.5,400000,4171796.81,5440,0,,,,
2016-06-08,Vancouver Island/Coast,393,371,18,2,,5,236,85,,25,10,6,2,2,9,1,2,191521284,487331.5,360000,3101607.42,4700,93,43581779,468621.3,322500,
2016-06-15,Vancouver Island/Coast,624,600,39,4,2,2,371,161,3,18,16,7,3,6,2,,6,276455933,443038.4,365000,4171230.73,4890,21,11864138,564959,390400,
2016-06-22,Vancouver Island/Coast,2052,2005,70,9,7,13,1228,421,171,86,33,13,10,10,9,1,4,950177609,463049.5,370000,15244602.94,5150,64,31129116,486392.4,384250,
2016-07-01,Vancouver Island/Coast,414,405,25,1,1,2,262,93,,21,6,2,2,2,2,,1,203160747,490726.4,395000,3242942.83,5428.57,12,7058509,588209.1,682500,
2016-07-08,Vancouver Island/Coast,529,514,20,4,1,1,324,106,3,55,11,5,2,4,4,,,244672879,462519.6,376900,3861882.57,5320,14,8058029,575573.5,440150,
2016-07-15,Vancouver Island/Coast,619,603,29,3,1,4,401,133,4,28,2,,1,1,10,1,3,297267929,480239,380000,4673402.58,5250,21,17276124,822672.6,601000,
2016-07-22,Vancouver Island/Coast,1434,1404,49,6,4,15,910,305,6,109,18,11,3,4,8,1,3,684258411,477167.7,380000,10736481.34,5300,44,25191459,572533.2,493000,
2016-08-01,Vancouver Island/Coast,609,590,33,1,4,6,382,135,4,25,14,9,4,1,3,,2,294039381,482823.3,395000,4614155.84,5500,12,8360716,696726.4,650000,
2016-08-08,Vancouver Island/Coast,401,395,14,2,1,4,265,71,5,33,2,2,,,2,1,1,180505895,450139.4,363000,2776766.25,4998,6,4537435,756239.2,539285.71,
2016-08-15,Vancouver Island/Coast,745,740,38,6,7,6,451,174,1,57,4,3,,1,1,,,362265702,486262.7,393000,5702551.71,5300,23,15731937,683997.3,663000,
2016-08-22,Vancouver Island/Coast,1320,1286,61,9,4,11,812,314,5,70,29,14,9,6,2,1,2,653403491,495002.6,399000,10458634.48,5600,42,33818586,805204.4,709500,
2016-09-01,Vancouver Island/Coast,547,529,33,2,2,9,327,118,5,33,13,5,2,6,3,1,1,265583992,485528.3,370000,4296263.77,5000,19,14897410,784074.2,530000,
2016-09-08,Vancouver Island/Coast,349,339,19,2,2,4,201,68,5,38,9,4,2,3,1,,,159414941,456776.3,365000,2397986.62,4900,7,4711620,673088.6,365000,
2016-09-15,Vancouver Island/Coast,517,507,27,3,3,7,304,117,3,43,8,4,1,3,,1,1,252172502,487761.1,375000,4032688.43,4760,12,8360800,696733.3,649400,
2016-09-22,Vancouver Island/Coast,1199,1148,36,8,1,14,539,220,7,323,36,20,12,4,7,3,5,582889537,486146.4,371000,9536127.44,5200,38,22863337,601666.8,572400,
2016-10-01,Vancouver Island/Coast,428,406,14,2,1,4,237,77,1,70,17,13,,4,2,1,2,188263198,439867.3,346250,2881535.82,4500,25,34944227,1397769.1,900000,
2016-10-08,Vancouver Island/Coast,408,395,31,1,1,4,225,74,2,57,7,4,1,2,2,,4,197399589,483822.5,378450,3058129.03,5200,11,8930500,811863.6,524000,
2016-10-15,Vancouver Island/Coast,366,356,25,5,,,205,74,3,44,7,3,1,3,3,,,172482964,471264.9,378000,2666048.35,4780,18,19178400,1065466.7,877000,
2016-10-22,Vancouver Island/Coast,978,954,21,5,2,5,289,103,3,526,14,4,,10,7,,3,487118034,498075.7,410000,7419654.18,5580,43,32688282,760192.6,715000,
2016-06-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2016-06-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,183,69030242,377214.4,267500,
2016-06-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,30,11636778,387892.6,334613.75,
2016-06-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,61,26536825,435029.9,365000,
2016-07-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,16,5727330,357958.1,403500,
2016-07-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,30,11426078,380869.3,355500,
2016-07-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,17,11302125,664830.9,315000,
2016-07-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,37,16501301,445981.1,313000,
2016-08-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,15,25590990,1706066,395000,
2016-08-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,17,6365318,374430.5,275000,
2016-08-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,14,7082935,505923.9,461500,
2016-08-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,24,10040656,418360.7,367950,
2016-09-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,26,8897480,342210.8,171773,
2016-09-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,19,4187434,220391.2,149300,
2016-09-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,14,6207851,443417.9,271000,
2016-09-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,39,14204501,364218,110890,
2016-10-01,Rest of province,,,,,,,,,,,,,,,,,,,,,,,23,21314042,926697.5,447500,
2016-10-08,Rest of province,,,,,,,,,,,,,,,,,,,,,,,18,6839687,379982.6,255000,
2016-10-15,Rest of province,,,,,,,,,,,,,,,,,,,,,,,22,2804827,127492.1,16288.75,
2016-10-22,Rest of province,,,,,,,,,,,,,,,,,,,,,,,39,21027183,539158.5,385000,
2016-11-01,Cariboo,89,78,15,1,,1,47,3,,11,9,5,,4,2,,,17148128,192675.6,165000,190129.51,1400,,,,,
2016-11-08,Cariboo,51,47,9,1,1,,34,1,,1,1,1,,,1,1,1,12317416,241518,245000,163276.13,2860,,,,,
2016-11-15,Cariboo,64,60,9,1,2,3,43,2,,,1,1,,,1,2,,15201613,237525.2,220000,190978.5,1970,,,,,
2016-11-22,Cariboo,109,100,25,4,4,,58,6,1,2,2,,,2,1,5,1,24059420,220728.6,210000,297141.13,1860,,,,,
2016-11-01,Kootenay,95,85,6,1,1,2,56,17,,2,1,1,,,6,3,,21928359,230824.8,195000,292230.67,1950,,,,,
2016-11-08,Kootenay,73,69,13,1,1,4,38,8,,4,3,2,,1,1,,,17167907,235176.8,170000,229802.07,1650,,,,,
2016-11-15,Kootenay,94,88,12,4,3,,47,20,,2,2,2,,,2,2,,40516476,431026.3,248500,804597.76,2875,,,,,
2016-11-22,Kootenay,160,138,15,1,2,,94,23,,3,17,15,,2,1,1,3,46297308,289358.2,220000,730062.91,2400,,,,,
2016-11-01,Mainland/Southwest,1249,1211,24,7,6,10,336,433,22,373,31,8,20,3,4,1,2,992626792,794737.2,481250,21897201.59,7134.08,43,32385506,753151.3,454270,3350279
