trans_period,DevelopmentRegion,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-06-01,Cariboo,638,567,137,5,13,9,363,27,,13,23,20,,3,10,32,6,166352351,260740.4,242616.2,2216241.4,2743.08,,,,,
2016-07-01,Cariboo,519,493,122,4,7,4,301,29,,26,11,9,,2,12,3,,121895472,234866,215000,1604843.8,2200,,,,,
2016-08-01,Cariboo,487,457,110,2,3,2,308,24,,8,6,5,,1,9,13,2,115681216,237538.4,222000,1536477.1,2400,,,,,
2016-09-01,Cariboo,463,442,83,9,6,4,274,34,,32,10,7,,3,5,4,2,108025807,233317.1,205000,1399753.6,2000,,,,,
2016-10-01,Cariboo,422,399,87,1,11,2,216,13,1,68,14,7,,7,3,2,4,100791349,238842.1,220000,1314604.2,2300,,,,,
2016-06-01,Kootenay,631,599,91,10,5,5,404,73,1,10,20,17,,3,11,1,,164682615,260986.7,234900,2267957.4,2640,,,,,
2016-07-01,Kootenay,483,457,68,5,7,2,315,48,,12,7,6,,1,18,1,,119382905,247169.6,222572.6,1595906.9,2400,,,,,
2016-08-01,Kootenay,442,413,53,4,1,6,282,55,1,11,20,17,,3,5,1,3,129575672,293157.6,248000,1847852.6,2800,,,,,
2016-09-01,Kootenay,469,445,42,7,4,3,283,56,2,48,14,9,,5,9,,1,130343430,277917.8,245000,1802202.7,2880,,,,,
2016-10-01,Kootenay,465,433,39,4,1,,252,34,1,102,10,8,,2,16,3,3,119288255,256533.9,235000,1510732.4,2400,,,,,
2016-06-01,Mainland/Southwest,11417,11115,194,31,51,79,5073,4351,88,1248,219,90,85,44,52,20,11,11234099934,983980,600000,221545982.3,9780,1042,1140953059,1094964.5,686500,
2016-07-01,Mainland/Southwest,10973,10720,154,30,44,83,4756,4251,70,1332,190,59,95,36,33,11,19,10164033249,926276.6,606000,193406259.1,9800,1429,1807729160,1265030.9,780000,
2016-08-01,Mainland/Southwest,8838,8638,136,41,52,62,3667,3604,70,1006,151,44,74,33,16,22,11,7815625116,884320.6,589900,149148810.9,9580,101,122622177,1214081,619000,2342545
