year,month,DevelopmentRegion,RegionalDistrict,Municipality,tot_mkt_trans,no_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_strata,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,sum_FMV_foreign,add_tax_paid,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_fth,n_nbh,sum_FMV_res,sum_FMV_foreign_res,md_FMV_foreign_res,mn_FMV_foreign_res,sum_invest_foreign_res,n_foreign_nonres,n_foreign_other,n_foreign_res
2016,1,CARIBOO,CARIBOO,CITY OF QUESNEL,14,12,1,0,9,0,1,0,0,0,0,0,2,0,1416551.68,101182.2629,53108.33,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,CARIBOO,CITY OF WILLIAMS LAKE,60,54,14,0,37,2,1,4,4,0,0,0,2,0,12636674.96,210611.2493,162500,172278.71,1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,CARIBOO,DISTRICT OF 100 MILE HOUSE,1,0,0,0,0,0,0,1,1,0,0,0,0,0,350000,350000,350000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,CARIBOO,DISTRICT OF WELLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,CARIBOO,QUESNEL RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,CARIBOO,WILLIAMS LAKE RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,CITY OF PRINCE GEORGE,126,120,22,1,62,10,25,4,4,0,0,0,2,0,31381895.27,249062.6609,214250,435568.9,2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,DISTRICT OF MACKENZIE,4,4,0,0,2,2,0,0,0,0,0,0,0,0,486000,121500,105500,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,PRINCE GEORGE RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,VILLAGE OF MCBRIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,VILLAGE OF VALEMOUNT,4,3,0,0,3,0,0,1,1,0,0,0,0,0,655000,163750,150000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,CITY OF CASTLEGAR,15,11,0,0,8,3,0,4,4,0,0,0,0,0,3843500,256233.3333,244000,51289,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,CITY OF NELSON,32,29,10,5,12,2,0,3,3,0,0,0,0,0,5437668.03,169927.1259,125000,69963.98,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,CRESTON RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,NAKUSP RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,NELSON RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,TOWN OF CRESTON,26,21,6,0,14,1,0,1,1,0,0,0,4,0,4642700,178565.3846,143250,58922,1432.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF KASLO,2,1,0,0,0,1,0,1,1,0,0,0,0,0,319000,159500,159500,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF NAKUSP,2,2,1,0,1,0,0,0,0,0,0,0,0,0,535000,267500,267500,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF NEW DENVER,1,1,0,0,1,0,0,0,0,0,0,0,0,0,185000,185000,185000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF SALMO,2,2,0,0,2,0,0,0,0,0,0,0,0,0,248500,124250,124250,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF SILVERTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,VILLAGE OF SLOCAN,2,2,0,0,0,2,0,0,0,0,0,0,0,0,368095.2,184047.6,184047.6,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,CITY OF CRANBROOK,37,32,5,0,23,4,0,5,4,0,1,0,0,0,11309467.4,305661.2811,269767.4,157982.35,3395.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,CITY OF FERNIE,18,15,1,0,10,4,0,3,1,0,2,0,0,0,5637000,313166.6667,289000,81020,3780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,CITY OF KIMBERLEY,10,10,0,0,8,2,0,0,0,0,0,0,0,0,1372625,137262.5,127010,15406.25,1270.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,CRANBROOK RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,DISTRICT OF ELKFORD,8,5,0,0,3,2,0,3,3,0,0,0,0,0,975500,121937.5,116500,10355,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,DISTRICT OF INVERMERE,23,23,0,0,14,9,0,0,0,0,0,0,0,0,4115173.9,178920.6043,125000,53749.12,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,DISTRICT OF SPARWOOD,4,2,0,0,2,0,0,2,2,0,0,0,0,0,771366,192841.5,216450,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,FERNIE RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,INVERMERE RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,VILLAGE OF CANAL FLATS,1,1,0,0,1,0,0,0,0,0,0,0,0,0,43000,43000,43000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,VILLAGE OF RADIUM HOT SPRINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,CITY OF GRAND FORKS,30,26,1,1,6,18,0,3,1,1,1,0,1,0,7699438.22,256647.9407,224000,103388.38,2480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,CITY OF GREENWOOD,2,2,0,0,2,0,0,0,0,0,0,0,0,0,222250,111125,111125,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,CITY OF ROSSLAND,12,12,2,0,8,1,1,0,0,0,0,0,0,0,2326650,193887.5,191025,27346.5,1910.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,CITY OF TRAIL,18,18,5,0,13,0,0,0,0,0,0,0,0,0,4280600,237811.1111,220000,55408,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,GRAND FORKS RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,TRAIL RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,VILLAGE OF FRUITVALE,2,2,0,0,2,0,0,0,0,0,0,0,0,0,684000,342000,342000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,VILLAGE OF MIDWAY,4,3,0,0,3,0,0,0,0,0,0,0,1,0,887000,221750,208500,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,VILLAGE OF MONTROSE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,89000,89000,89000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,VILLAGE OF WARFIELD,2,2,0,0,1,1,0,0,0,0,0,0,0,0,101500,50750,50750,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,CHILLIWACK RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,CITY OF ABBOTSFORD,363,347,4,0,183,117,12,7,1,6,0,0,8,1,145058996.2,399611.5598,340000,2244688.81,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,DISTRICT OF CHILLIWACK,239,221,4,1,140,58,18,9,4,5,0,0,9,0,85479369.65,357654.2663,307500,1278826.7,4150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,DISTRICT OF HOPE,11,10,0,0,9,1,0,1,1,0,0,0,0,0,2379500,216318.1818,222500,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,DISTRICT OF KENT,13,11,0,0,9,2,0,2,2,0,0,0,0,0,5516930,424379.2308,293000,85675.1,3860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,DISTRICT OF MISSION,95,93,13,0,67,12,1,1,0,1,0,0,1,0,38662744.02,406976.2528,356000,593489.43,5120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,VILLAGE OF HARRISON HOT SPRINGS,3,3,0,0,2,1,0,0,0,0,0,0,0,0,708000,236000,280000,nr,nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
