year,month,DevelopmentRegion,RegionalDistrict,Municipality,tot_mkt_trans,no_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_strata,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,sum_FMV_foreign,add_tax_paid,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_fth,n_nbh,sum_FMV_res,sum_FMV_foreign_res,md_FMV_foreign_res,mn_FMV_foreign_res,sum_invest_foreign_res,n_foreign_nonres,n_foreign_other,n_foreign_res
2016,1,CARIBOO,CARIBOO,NA,75,66,15,0,46,2,2,5,5,0,0,0,4,0,14403227,192043,142300,193744.23,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,CARIBOO,FRASER-FORT GEORGE,NA,134,127,22,1,67,12,25,5,5,0,0,0,2,0,32522895,242708.2,207500,448378.9,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,CENTRAL KOOTENAY,NA,82,69,17,5,38,9,0,9,9,0,0,0,4,0,15579463,189993.5,172000,199430.93,1720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,EAST KOOTENAY,NA,101,88,6,0,61,21,0,13,10,0,0,0,0,0,24224132,239842.9,225000,327655.38,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,KOOTENAY,KOOTENAY-BOUNDARY,NA,71,66,8,1,36,20,1,3,1,1,1,0,2,0,16290438,229442.8,204000,210390.38,2080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,FRASER VALLEY,NA,724,685,21,1,410,191,31,20,8,12,0,0,18,1,277805540,383709.3,326250,4239610.04,4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,METRO VANCOUVER,NA,5712,5525,58,63,2406,2412,578,161,45,102,11,0,12,14,5297664045,927462.2,586500,94655312.01,9730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,SQUAMISH-LILLOOET,NA,198,152,7,1,62,74,8,43,3,38,2,0,2,1,118076310,596345,429000,2032698.6,6580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,MAINLAND/SOUTHWEST,SUNSHINE COAST,NA,106,100,20,0,69,10,1,5,5,0,0,0,0,1,49631970,468226.1,372250,787199.52,5380.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NECHAKO & NORTH COAST,BULKLEY-NECHAKO,NA,53,45,18,0,26,1,0,4,3,0,1,0,3,1,9813516,185160.7,132000,128818.02,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NECHAKO & NORTH COAST,KITIMAT-STIKINE,NA,36,33,3,0,28,2,0,2,2,0,0,0,0,1,9341970,259499.2,129250,141828.7,1292.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
