year,month,DevelopmentRegion,tot_mkt_trans,no_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_strata,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid,RegionalDistrict,Municipality,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_fth,n_nbh,sum_FMV_res,sum_FMV_foreign_res,md_FMV_foreign_res,mn_FMV_foreign_res,sum_invest_foreign_res,n_foreign_res,n_foreign_nonres,n_foreign_other
2016,1,Cariboo,209,193,37,1,113,14,27,10,10,0,0,0,6,0,46926122,224526.9,174000,642123.1,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Kootenay,254,223,31,6,135,50,1,25,20,1,1,0,6,0,56094034,220842.7,195000,737476.7,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Mainland/Southwest,6740,6462,106,65,2947,2687,618,229,61,152,13,0,32,17,5743177865,852103.5,532250,101714820.2,8645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Nechako & North Coast,112,95,21,0,70,3,0,12,10,0,1,0,3,2,24335186,217278.4,145000,341294.5,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Northeast,117,102,24,0,37,7,31,7,6,0,1,0,7,1,34796083,297402.4,218000,505612.4,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Thompson/Okanagan,894,822,60,9,517,183,53,44,30,11,2,0,24,4,361146282,403966.8,324100,5583110.5,4482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Unknown/Rural,174,153,28,0,74,19,32,17,6,10,1,0,2,2,71777307,412513.3,348250,1140101.2,4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,Vancouver Island/Coast,1357,1296,62,20,807,324,83,49,27,19,3,0,6,6,582018657,428901,343992.2,9098605.6,4870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Cariboo,226,188,47,1,122,15,3,18,14,2,0,0,17,3,49475754,218919.3,176250,650643.6,1735.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Kootenay,229,206,23,6,124,52,1,12,10,1,1,0,6,5,52848627,230780,197500,720090.2,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Mainland/Southwest,6157,5811,103,58,2659,2502,482,282,71,189,17,0,44,20,5330438937,865752.6,525000,97874837.1,8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Nechako & North Coast,104,94,27,1,60,4,0,5,5,0,0,0,5,0,18918467,181908.3,155500,238903.7,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Northeast,136,97,23,0,40,7,26,11,10,0,1,0,27,1,38435375,282613.1,200000,545827.8,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Thompson/Okanagan,873,807,67,6,478,196,59,42,21,20,1,0,21,3,326234159,373693.2,320000,4864158.5,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Unknown/Rural,209,199,61,0,86,18,34,6,0,5,1,1,3,0,87718156,419704.1,339900,1356637.8,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2,Vancouver Island/Coast,1329,1272,62,12,773,358,67,41,18,22,0,0,11,5,549404991,413397.3,335000,8407252.8,4650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Cariboo,332,304,78,4,199,18,4,17,16,1,0,0,8,3,73470948,221298,179500,975172.9,1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Kootenay,367,343,55,4,206,78,0,15,14,1,0,0,5,4,85969704,234249.9,196000,1164964,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Mainland/Southwest,7871,7511,139,67,3446,3140,697,289,80,202,6,0,54,17,7344941205,933164.9,535000,146316687.3,8657.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Nechako & North Coast,139,120,37,1,76,6,0,15,13,1,0,0,2,2,33909741,243955,220000,467868.4,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Northeast,159,127,29,0,61,9,25,11,10,0,1,0,14,7,38703707,243419.5,215000,533741.9,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Thompson/Okanagan,1295,1171,69,5,722,314,61,73,35,32,5,1,43,7,518599294,400462.8,320000,8209272.4,4398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,Unknown/Rural,243,220,43,1,115,33,28,11,2,7,2,0,8,4,154685222,636564.7,365000,3052354.6,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
