Geography,Total - Shelter-cost-to-income ratio,  Spending less than 30% of household income on shelter costs,    Less than 15%,    15% to less than 30%,  Spending 30% or more of household income on shelter costs,    30% to less than 50%,    50% or more,      50% to less than 100%,  Not applicable (private households with a household total income less than or equal to zero)
Canada (01)   20000 ( 26.1%),13073790,9763275,5120780,4642495,3285980,1818285,1467695,880755,24540
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000 ( 31.4%),207870,170500,107570,62930,37275,21300,15975,10075,95
St. John's (001)   00000 ( 27.5%),78965,61890,33790,28100,17045,9450,7595,4635,30
Bay Roberts (005)   00000 ( 34.4%),4190,3365,1990,1375,820,490,330,210,0
Grand Falls-Windsor (010)   00000 ( 24.2%),5720,4350,2535,1815,1375,860,515,375,0
Corner Brook (015)   00000 ( 31.3%),11100,8845,5180,3665,2240,1330,915,545,0
Prince Edward Island / Île-du-Prince-Édouard (11)   00000 ( 33.4%),55425,44550,23790,20760,10800,6250,4550,2820,75
Charlottetown (105)   00000 ( 27.7%),25985,20065,10140,9920,5865,3390,2480,1565,55
Summerside (110)   00000 ( 33.3%),6965,5380,2465,2920,1585,850,735,500,0
Nova Scotia / Nouvelle-Écosse (12)   00000 ( 28.2%),384860,298605,164880,133725,85850,47805,38045,23345,405
Halifax (205)   00000 ( 24.9%),165000,122950,59895,63050,41785,22215,19570,11425,260
Kentville (210)   00000 ( 24.6%),11025,8345,4345,3995,2675,1490,1190,760,0
Truro (215)   00000 ( 29.0%),19000,14825,8420,6405,4135,2540,1595,910,40
New Glasgow (220)   00000 ( 28.6%),14995,12105,7060,5050,2885,1625,1255,895,0
Cape Breton (225)   00000 ( 27.0%),41080,32465,19175,13290,8610,4880,3730,2625,0
New Brunswick / Nouveau-Brunswick (13)   00000 ( 28.6%),309465,250725,148215,102520,58435,33755,24675,14470,300
Moncton (305)   00000 ( 23.4%),58205,45415,22920,22495,12720,7485,5230,2950,70
Saint John (310)   00000 ( 29.2%),52080,40925,23065,17860,11095,6615,4475,2810,60
Fredericton (320)   00000 ( 24.3%),38505,30765,17415,13350,7720,4195,3525,2100,15
Bathurst (328)   00000 ( 22.7%),14480,12040,8175,3870,2430,1325,1105,705,0
Miramichi (329)   00000 ( 31.9%),11480,9570,6235,3335,1905,1255,645,320,0
Campbellton (330)   00000 ( 26.1%),7020,5495,3480,2010,1525,930,600,405,0
Campbellton (New Brunswick part / partie du Nouveau-Brunswick) (13330)   00000 ( 26.3%),6370,4975,3230,1745,1390,865,525,360,0
Campbellton (partie du Québec / Quebec part) (24330)   00000 ( 25.6%),650,520,250,265,135,65,70,45,0
Edmundston (335)   00000 ( 25.4%),9570,7610,4395,3215,1955,1220,730,500,0
Quebec / Québec (24)   20000 ( 22.4%),3365130,2573495,1383500,1190000,785750,433105,352645,217660,5885
Matane (403)   00000 ( 22.2%),8595,6880,4210,2675,1710,1255,455,315,0
Rimouski (404)   00000 ( 23.7%),22840,18565,10615,7950,4270,2500,1765,1055,0
Rivière-du-Loup (405)   00000 ( 28.7%),12140,9950,5635,4315,2185,1520,665,355,0
Baie-Comeau (406)   00000 ( 20.0%),12560,10765,7435,3330,1790,1075,710,465,0
Saguenay (408)   00000 ( 20.4%),69295,56175,32910,23260,13090,7155,5930,3590,30
Alma (410)   00000 ( 18.9%),14080,11770,6880,4895,2305,1405,900,550,0
Dolbeau-Mistassini (411)   00000 ( 15.3%),6975,5700,3365,2335,1280,780,500,300,0
Sept-Îles (412)   00000 ( 29.1%),11210,9555,6440,3110,1650,840,810,525,0
Québec (421)   20000 ( 21.4%),345420,275915,150265,125650,69235,39010,30225,19165,270
Saint-Georges (428)   00000 ( 23.2%),15145,12260,6950,5310,2875,1795,1080,565,0
Thetford Mines (430)   00000 ( 20.6%),12805,10620,6495,4125,2185,1300,880,635,0
Sherbrooke (433)   00000 ( 17.3%),90790,68080,34245,33835,22560,12765,9795,6670,145
Cowansville (437)   00000 ( 21.2%),5500,4295,2145,2150,1210,735,470,305,0
Victoriaville (440)   00000 ( 20.4%),20420,15850,8755,7095,4560,2885,1675,1115,0
Trois-Rivières (442)   00000 ( 19.3%),69825,54225,30305,23920,15555,8810,6750,4460,45
Shawinigan (444)   00000 ( 25.2%),26110,20500,11530,8970,5600,3475,2125,1445,0
Drummondville (447)   00000 ( 21.1%),38465,29975,16280,13695,8460,4895,3560,2325,30
Granby (450)   00000 ( 21.7%),33520,25990,13670,12320,7510,4620,2890,1940,0
Saint-Hyacinthe (452)   00000 ( 20.9%),25690,19760,9905,9850,5900,3725,2170,1410,35
Sorel-Tracy (454)   00000 ( 21.6%),21865,17465,10345,7120,4390,2635,1755,1065,0
Joliette (456)   00000 ( 24.1%),21385,16280,8590,7690,5085,2855,2230,1585,0
Saint-Jean-sur-Richelieu (459)   00000 ( 23.2%),39200,30835,15780,15055,8335,4945,3390,2105,35
Montréal (462)   20000 ( 19.7%),1612055,1163775,577310,586465,443855,235085,208770,127965,4425
Salaberry-de-Valleyfield (465)   00000 ( 32.8%),18245,13750,6915,6835,4500,2530,1970,1335,0
Lachute (468)   00000 ( 28.3%),5655,4230,2045,2185,1415,880,535,325,0
Val-d'Or (480)   00000 ( 30.3%),13950,11580,7310,4270,2375,1425,950,555,0
Amos (481)   00000 ( 31.5%),7020,6030,3750,2285,985,605,380,210,0
Rouyn-Noranda (485)   00000 ( 29.9%),18310,15005,9590,5415,3305,2010,1300,745,0
Ontario (35)   20000 ( 27.1%),4832190,3520535,1730225,1790310,1303190,732760,570425,346760,8465
Cornwall (501)   00000 ( 29.5%),25130,18805,9085,9720,6285,3825,2465,1610,45
Hawkesbury (502)   00000 ( 29.7%),5635,3855,1780,2075,1760,1175,590,435,0
Hawkesbury (Ontario part / partie de l'Ontario) (35502)   00000 ( 29.2%),4945,3280,1505,1780,1645,1120,525,375,0
Ottawa - Gatineau (505)   00000 ( 22.3%),497570,386850,198050,188795,110015,61675,48335,28580,710
Ottawa - Gatineau (partie du Québec / Quebec part) (24505)   00000 ( 24.2%),131430,103670,55640,48030,27580,14940,12640,7130,180
Ottawa - Gatineau (Ontario part / partie de l'Ontario) (35505)   00000 ( 21.7%),366145,283180,142410,140770,82430,46735,35690,21450,530
Brockville (512)   00000 ( 32.9%),16495,12595,6805,5790,3900,2090,1810,1275,0
Pembroke (515)   00000 ( 28.7%),9845,7645,3895,3755,2190,1165,1025,665,0
Petawawa (516)   00000 ( 23.1%),6030,5495,3230,2265,535,280,255,125,0
Kingston (521)   00000 ( 28.4%),65390,48135,24090,24045,17185,9965,7215,4365,70
Belleville (522)   00000 ( 28.4%),38245,28885,14075,14805,9355,5520,3835,2480,0
Cobourg (527)   00000 ( 33.7%),8045,5975,3010,2965,2065,1215,845,455,0
