Geography,Total - Shelter-cost-to-income ratio,  Spending less than 30% of household income on shelter costs,    Less than 15%,    15% to less than 30%,  Spending 30% or more of household income on shelter costs,    30% to less than 50%,    50% or more,      50% to less than 100%,  Not applicable (private households with a household total income less than or equal to zero)
Port Hope (528)   00000 ( 27.7%),6490,4995,2565,2425,1495,780,710,420,0
Peterborough (529)   00000 ( 36.3%),47615,35260,17270,17995,12310,7590,4720,2935,50
Kawartha Lakes (530)   00000 ( 40.8%),28745,21395,10970,10420,7330,4360,2970,1760,20
Centre Wellington (531)   00000 ( 33.8%),9595,7645,3975,3665,1950,1220,735,485,0
Oshawa (532)   00000 ( 28.3%),129395,97060,44690,52370,32235,18985,13255,8115,95
Ingersoll (533)   00000 ( 24.4%),4785,3830,1920,1910,955,610,345,190,0
Toronto (535)   00000 ( 25.4%),1988160,1351375,625695,725675,631425,338230,293190,175170,5365
Hamilton (537)   00000 ( 26.7%),281500,209610,101430,108180,71485,41955,29530,18500,395
St. Catharines - Niagara (539)   00000 ( 29.2%),159635,119135,59600,59540,40365,24460,15900,10570,140
Kitchener - Cambridge - Waterloo (541)   00000 ( 23.4%),181100,137085,64390,72690,43900,26170,17730,10675,115
Brantford (543)   00000 ( 28.0%),49985,37680,18035,19645,12265,7465,4805,3460,40
Woodstock (544)   00000 ( 21.7%),15680,11645,5195,6450,4010,2495,1515,1145,25
Tillsonburg (546)   00000 ( 30.5%),6810,5370,2770,2595,1445,920,525,350,0
Norfolk (547)   00000 ( 33.4%),24225,19180,10155,9020,5035,3095,1945,1205,10
Guelph (550)   00000 ( 25.4%),54630,40820,19755,21065,13710,7905,5805,3640,95
Stratford (553)   00000 ( 22.5%),13325,10470,4675,5795,2825,1840,980,680,35
London (555)   00000 ( 23.7%),193565,142280,69565,72720,51060,28910,22155,12985,220
Chatham-Kent (556)   00000 ( 22.7%),41480,31925,17215,14705,9525,5895,3630,2265,35
Leamington (557)   00000 ( 25.7%),17250,13375,7075,6305,3835,2230,1610,995,35
Windsor (559)   00000 ( 28.1%),126455,96035,52340,43700,30200,16620,13575,7710,220
Sarnia (562)   00000 ( 19.4%),37580,29115,16955,12165,8460,4620,3835,2465,0
Owen Sound (566)   00000 ( 26.7%),13545,10235,5375,4860,3290,2180,1110,690,15
Collingwood (567)   00000 ( 30.5%),8340,5735,2655,3085,2590,1540,1055,740,0
Barrie (568)   00000 ( 26.2%),68180,48465,20565,27900,19595,11750,7845,5235,130
Orillia (569)   00000 ( 30.0%),16630,11405,5910,5495,5200,2940,2265,1480,20
Midland (571)   00000 ( 34.3%),14675,10690,5100,5590,3980,2300,1680,1180,0
North Bay (575)   00000 ( 27.6%),27220,19910,9465,10450,7305,4420,2890,1800,0
Greater Sudbury / Grand Sudbury (580)   00000 ( 27.9%),67510,52230,27235,24990,15260,9275,5980,3480,25
Elliot Lake (582)   00000 ( 35.8%),5680,4305,2355,1945,1375,910,465,180,0
Temiskaming Shores (584)   00000 ( 31.8%),5720,4450,2400,2055,1260,810,450,245,0
Timmins (586)   00000 ( 30.8%),17795,14380,7930,6450,3405,2100,1305,790,0
Sault Ste. Marie (590)   20000 ( 28.7%),33820,27235,15810,11425,6565,4165,2400,1595,20
Thunder Bay (595)   00000 ( 25.6%),51665,41785,24795,16990,9850,5720,4125,2575,30
Kenora (598)   00000 ( 32.3%),6515,5165,3135,2030,1355,920,435,235,0
Manitoba (46)   20000 ( 26.2%),440080,354135,203600,150535,85060,48970,36095,20095,880
Winnipeg (602)   20000 ( 21.9%),290665,228265,123285,104975,61785,35345,26440,15150,615
Steinbach (605)   00000 ( 26.3%),5095,3950,1780,2165,1135,730,410,260,10
Portage la Prairie (607)   00000 ( 29.1%),5390,4280,2635,1645,1110,635,470,305,0
Brandon (610)   00000 ( 24.2%),21680,17570,10170,7405,4075,2610,1465,675,30
Thompson (640)   00000 ( 26.2%),4760,3835,2470,1370,920,425,495,170,0
Saskatchewan (47)   20000 ( 29.3%),372760,296085,173090,122995,75660,43620,32035,19475,1020
Regina (705)   00000 ( 23.5%),85445,66420,37255,29165,18830,10985,7845,4735,195
Yorkton (710)   00000 ( 25.1%),7590,5760,3355,2405,1795,1170,630,385,0
Moose Jaw (715)   00000 ( 25.7%),15040,11445,6520,4920,3580,2170,1410,855,15
Swift Current (720)   00000 ( 22.8%),7310,6010,3550,2460,1300,635,660,300,0
Saskatoon (725)   00000 ( 24.4%),103480,77655,39770,37885,25460,13970,11495,7440,370
North Battleford (735)   00000 ( 32.2%),7630,6045,3170,2870,1565,1030,535,330,0
Prince Albert (745)   00000 ( 31.7%),15570,11845,6490,5360,3705,2235,1470,970,20
Estevan (750)   00000 ( 22.7%),5095,4295,2610,1685,795,400,395,230,0
Alberta (48)   20000 ( 27.4%),1347535,1025590,541135,484450,319230,178525,140710,81050,2715
Medicine Hat (805)   00000 ( 28.5%),29465,23010,12810,10195,6435,3720,2715,1550,25
Brooks (806)   00000 ( 45.1%),7925,6275,3400,2880,1620,840,785,445,35
Lethbridge (810)   00000 ( 30.9%),40950,30905,16285,14625,10005,5695,4310,2785,35
Okotoks (820)   00000 ( 22.9%),8425,6575,2950,3625,1820,1205,615,335,30
High River (821)   00000 ( 24.8%),5260,3915,1970,1945,1330,830,495,230,0
Calgary (825)   00000 ( 23.6%),462655,346165,178005,168160,115345,64820,50525,28650,1150
Strathmore (826)   00000 ( 27.5%),4580,3365,1315,2050,1210,740,470,285,0
Canmore (828)   00000 ( 29.9%),5175,3815,2065,1750,1340,805,535,275,20
Red Deer (830)   00000 ( 27.6%),36340,26680,12695,13985,9600,5565,4030,2260,65
Sylvan Lake (831)   00000 ( 30.0%),4770,3625,1635,1990,1140,655,490,230,0
Lacombe (832)   00000 ( 25.0%),4415,3445,1700,1750,965,585,380,275,0
Camrose (833)   00000 ( 27.4%),7460,5465,2920,2550,1980,1200,775,470,15
Edmonton (835)   00000 ( 25.4%),447575,336815,174855,161960,109860,59220,50640,29120,900
Lloydminster (840)   00000 ( 31.1%),11565,9235,5035,4195,2330,1405,925,715,0
Lloydminster (Saskatchewan part / partie de la Saskatchewan) (47840)   00000 ( 37.8%),4645,3735,1930,1805,905,585,320,250,0
Lloydminster (Alberta part / partie de l'Alberta) (48840)   00000 ( 26.4%),6930,5500,3110,2390,1420,820,600,465,0
Cold Lake (845)   00000 ( 23.7%),5150,4390,1900,2490,755,535,215,125,0
Grande Prairie (850)   00000 ( 26.3%),21175,16345,7235,9105,4775,2690,2080,1220,55
Wood Buffalo (860)   00000 ( 30.5%),23075,18790,10510,8280,4260,2295,1960,945,25
Wetaskiwin (865)   00000 ( 29.8%),5125,3570,1800,1765,1545,900,645,425,0
British Columbia / Colombie-Britannique (59)   20000 ( 26.1%),1721860,1197730,624520,573205,519470,269010,250455,143800,4655
Cranbrook (905)   00000 ( 31.1%),10270,7900,4755,3150,2350,1260,1095,595,15
Penticton (913)   00000 ( 30.3%),18215,12650,6435,6220,5530,2985,2550,1645,35
Kelowna (915)   00000 ( 27.8%),70035,48230,24760,23470,21690,11730,9960,6015,120
Vernon (918)   00000 ( 27.0%),22655,16215,9015,7200,6410,3380,3025,1970,30
Salmon Arm (920)   00000 ( 22.6%),7175,5270,2795,2480,1860,1150,705,470,40
Kamloops (925)   00000 ( 27.8%),39350,29490,16045,13450,9795,5420,4370,2725,70
Chilliwack (930)   00000 ( 22.7%),33975,23890,11775,12115,10000,5745,4255,2645,85
Abbotsford - Mission (932)   00000 ( 31.5%),58160,41155,19260,21890,16925,9360,7560,4755,85
Vancouver (933)   00000 ( 24.4%),886180,587460,285250,302210,295725,146515,149205,81420,2995
Squamish (934)   00000 ( 28.9%),6520,4115,1765,2355,2350,1290,1065,750,55
Victoria (935)   20000 ( 22.7%),150695,103720,51540,52180,46760,25405,21350,13175,210
Duncan (937)   00000 ( 25.0%),17040,12135,6830,5300,4895,2700,2190,1330,0
Nanaimo (938)   00000 ( 20.7%),41500,28355,14940,13415,13030,7285,5740,3820,120
Parksville (939)   00000 ( 22.3%),12955,10045,6340,3705,2890,1720,1170,670,10
Port Alberni (940)   00000 ( 26.6%),10845,8015,4965,3050,2825,1635,1190,780,0
Courtenay (943)   00000 ( 21.6%),24245,18245,10270,7980,5970,3220,2750,1785,35
Campbell River (944)   00000 ( 21.8%),15105,11245,6215,5035,3840,2070,1775,1120,0
Powell River (945)   00000 ( 26.8%),7435,5780,3705,2075,1650,845,805,515,0
Williams Lake (950)   00000 ( 23.1%),7320,5895,3665,2235,1410,765,645,395,0
Quesnel (952)   00000 ( 24.1%),9045,7225,4660,2565,1805,925,880,490,0
Prince Rupert (955)   00000 ( 28.5%),5185,3915,2115,1795,1260,700,565,325,0
Terrace (965)   00000 ( 22.0%),6200,4915,3030,1885,1280,700,585,330,0
Prince George (970)   00000 ( 23.5%),33650,26120,14900,11225,7470,4055,3415,2105,55
Dawson Creek (975)   00000 ( 25.9%),4860,3640,1760,1880,1195,630,560,315,0
Fort St. John (977)   00000 ( 18.8%),10255,7825,4355,3470,2420,1355,1065,485,0
Yukon (60)   00000 ( 29.9%),13480,10805,6345,4460,2660,1625,1035,595,20
Whitehorse (990)   00000 ( 27.7%),10335,8135,4485,3655,2180,1355,830,475,0
Northwest Territories / Territoires du Nord-Ouest (61)   00000 ( 16.1%),14480,12415,7365,5050,2050,1255,800,485,15
Yellowknife (995)   00000 ( 14.7%),6920,5780,2690,3090,1130,730,400,220,0
Nunavut (62)   00000 ( 25.2%),8660,8115,6560,1555,545,305,240,120,0
