"Geographic code","Geographic name, english","Geographic name, french","Population centre size group, english","Population centre size group, french","Type of population centre, english","Type of population centre, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"0018","Angus - Borden CFB-BFC","Angus - Borden CFB-BFC","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,12640,F,10132,T,24.8,4447,4272,14.35,880.9,
"0019","Antigonish","Antigonish","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,5002,F,5049,T,-0.9,2920,2290,5.49,910.6,
"0020","Armstrong","Armstrong","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,5114,F,4830,F,5.9,2143,2132,5.22,979.8,
"0021","Arnprior","Arnprior","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,10426,F,9892,T,5.4,4794,4565,12.12,860.4,
"0022","Arthur","Arthur","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2333,F,2314,T,0.8,939,926,2.85,819.3,
"0023","Asbestos","Asbestos","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,5205,F,5401,T,-3.6,2744,2593,3.56,1463.2,
"0024","Ashcroft","Ashcroft","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,1084,F,1151,T,-5.8,575,536,2.04,530.3,
"0025","Assiniboia","Assiniboia","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,2389,F,2408,T,-0.8,1208,1099,2.38,1005.0,
"0028","Atikokan","Atikokan","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1944,F,1943,T,0.1,1010,900,2.08,932.6,
"0030","Aylmer","Aylmer","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,7621,F,7249,F,5.1,3081,3011,6.27,1216.2,
"0031","Ayr","Ayr","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,4171,F,3909,T,6.7,1439,1433,3.52,1185.3,
"0036","Baie-Comeau","Baie-Comeau","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Quebec","Québec",24,,9610,F,9917,F,-3.1,4523,4286,11.37,845.2,
"0037","Baie-Saint-Paul","Baie-Saint-Paul","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,4868,F,4323,T,12.6,2525,2301,4.01,1212.8,
"0038","Golden","Golden","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1154,F,1220,F,-5.4,578,494,0.93,1241.7,
"0040","Banff","Banff","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,7851,F,7584,F,3.5,2729,2543,4.77,1646.0,
"0041","Barraute","Barraute","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1099,F,1097,F,0.2,515,506,1.33,827.6,
"0042","Barrhead","Barrhead","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,4387,F,4158,T,5.5,1925,1831,4.75,922.8,
"0043","Barrie","Barrie","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","Ontario","Ontario",35,,145614,F,140383,T,3.7,55655,53898,83.67,1740.2,
"0044","Barry's Bay","Barry's Bay","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1259,F,1241,T,1.5,582,523,2.26,556.9,
"0045","Bathurst","Bathurst","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","New Brunswick","Nouveau-Brunswick",13,,15557,F,15990,T,-2.7,8085,7282,25.15,618.5,
"0046","Bay Roberts","Bay Roberts","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,7100,F,6812,T,4.2,3135,2862,17.56,404.4,
"0047","Beauceville","Beauceville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,3769,F,3652,T,3.2,1784,1718,6.05,623.4,
"0050","Beaupré","Beaupré","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,5889,F,5705,T,3.2,2989,2581,9.78,602.3,
"0051","Beausejour","Beausejour","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,2895,F,2842,T,1.9,1408,1335,2.49,1160.5,
"0052","Beaverlodge","Beaverlodge","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,2327,F,2245,T,3.7,978,907,3.06,759.7,
"0053","Beaverton","Beaverton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2822,F,2792,T,1.1,1311,1208,4.82,585.6,
"0054","Gentilly","Gentilly","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Quebec","Québec",24,,1673,F,1756,T,-4.7,903,846,1.61,1039.8,
"0056","Bedford","Bedford","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2550,F,2669,T,-4.5,1276,1205,3.81,668.8,
"0058","Beeton","Beeton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,3891,F,3730,T,4.3,1354,1345,2.12,1839.1,
"0061","Belleville","Belleville","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Ontario","Ontario",35,,67666,F,66331,T,2.0,30709,29377,82.64,818.8,
"0063","Beloeil","Beloeil","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Secondary core","Noyau secondaire","Quebec","Québec",24,,50845,F,48688,T,4.4,21026,20599,26.42,1924.6,
"0067","Berthierville","Berthierville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,4715,F,4495,T,4.9,2319,2178,5.19,908.6,
"0069","Berwick","Berwick","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,2449,F,2368,T,3.4,1046,1023,3.81,643.5,
"0071","Biggar","Biggar","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,2165,F,2100,T,3.1,1054,955,1.66,1305.7,
"0072","Bishop's Falls","Bishop's Falls","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,2581,F,2658,T,-2.9,1234,1138,5.77,447.3,
"0074","Blairmore","Blairmore","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,1545,F,1521,T,1.6,886,731,2.04,758.3,
"0075","Blenheim","Blenheim","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,4344,F,4595,T,-5.5,2023,1890,4.54,957.4,
"0076","Blind River","Blind River","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2284,F,2426,T,-5.9,1240,1104,3.90,585.3,
"0077","Bobcaygeon","Bobcaygeon","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,3525,F,3508,T,0.5,1906,1714,5.27,669.1,
"0078","Boissevain","Boissevain","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,1656,F,1572,F,5.3,744,707,2.44,679.7,
"0079","Saint-Martin","Saint-Martin","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1582,F,1654,T,-4.4,750,715,3.27,483.7,
"0080","Bolton","Bolton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,26378,F,27108,T,-2.7,8602,8459,20.72,1273.0,
"0081","Bonaventure","Bonaventure","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1439,F,1532,T,-6.1,692,664,2.80,514.0,
"0082","Bonavista","Bonavista","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,3140,F,3304,T,-5.0,1616,1407,4.20,746.9,
"0083","Bonnyville","Bonnyville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,5081,F,5860,T,-13.3,2296,1963,5.37,945.9,
"0084","Botwood","Botwood","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,2763,F,2657,T,4.0,1258,1185,4.44,623.0,
"0086","Bow Island","Bow Island","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,1773,F,1862,T,-4.8,608,563,1.37,1292.4,
"0087","Bowmanville","Bowmanville","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,39371,F,35168,T,12.0,14263,14070,21.70,1814.0,
"0088","Bracebridge","Bracebridge","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,9232,F,9030,T,2.2,4234,4062,13.39,689.7,
"0089","Bradford","Bradford","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,29862,F,23024,T,29.7,9960,9727,11.94,2501.1,
"0091","Brandon","Brandon","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Manitoba","Manitoba",46,,48324,F,45624,T,5.9,21274,20077,28.32,1706.4,
"0092","Brantford","Brantford","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","Ontario","Ontario",35,,98179,F,94269,T,4.1,40964,39445,61.02,1609.0,
"0094","Bridgenorth - Chemong Park Area","Bridgenorth - Chemong Park Area","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,2945,F,2934,T,0.4,1304,1150,6.88,428.1,
"0096","Bridgewater","Bridgewater","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,8532,F,8241,T,3.5,4299,4077,13.63,625.9,
"0097","Brighton","Brighton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,5861,F,5267,T,11.3,2764,2696,6.92,846.9,
"0098","Brockville","Brockville","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,21854,F,22286,T,-1.9,10893,10322,18.71,1167.8,
"0101","Brooks","Brooks","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Alberta","Alberta",48,,14436,F,13656,T,5.7,5406,5040,12.86,1122.3,
"0105","Bouctouche","Bouctouche","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","New Brunswick","Nouveau-Brunswick",13,,1722,F,1709,T,0.8,874,794,4.02,428.5,
"0107","Burgeo","Burgeo","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,1307,F,1464,F,-10.7,655,615,1.98,660.4,
"0110","Burns Lake","Burns Lake","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,1932,F,2222,T,-13.1,780,720,2.95,655.6,
"0111","Cabano","Cabano","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2438,F,2470,T,-1.3,1233,1105,2.73,894.6,
"0114","Caledonia","Caledonia","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,9674,F,9871,T,-2.0,3503,3483,5.57,1738.2,
"0115","Calgary","Calgary","Large urban population centre (100,000 or more)","Grand centre de population urbain (100 000 et plus)","Core","Noyau","Alberta","Alberta",48,,1237656,F,1094379,T,13.1,489271,466391,586.08,2111.8,
"0119","Campbell River","Campbell River","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Core","Noyau","British Columbia","Colombie-Britannique",59,,35138,F,33448,T,5.1,15922,15267,30.72,1143.9,
"0121","Campbellford","Campbellford","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,3473,F,3483,T,-0.3,1629,1546,3.74,929.5,
"0122","Campbellton","Campbellton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","New Brunswick/Quebec","Nouveau-Brunswick/Québec",13,24,10716,F,11990,T,-10.6,5333,4922,21.23,504.8,
"130122","Campbellton (New Brunswick part)","Campbellton (partie du Nouveau-Brunswick)",,,,,"New Brunswick","Nouveau-Brunswick",13,24,8780,F,9456,T,-7.1,4360,4005,17.75,494.5,
"240122","Campbellton (Quebec part)","Campbellton (partie du Québec)",,,,,"Quebec","Québec",24,13,1936,F,2534,T,-23.6,973,917,3.48,556.9,
"0123","Camrose","Camrose","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Alberta","Alberta",48,,18520,F,17057,T,8.6,8429,7968,17.08,1084.6,
"0125","Canmore","Canmore","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Alberta","Alberta",48,,11764,F,10539,F,11.6,6192,4697,13.44,875.4,
"0126","Cannington","Cannington","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1845,F,1808,T,2.0,732,717,1.82,1011.8,
"0127","Canora","Canora","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1700,F,1835,T,-7.4,883,816,1.44,1177.0,
"0129","Cap-aux-Meules","Cap-aux-Meules","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2028,F,1952,T,3.9,920,865,4.80,422.4,
"0130","Cap-Chat","Cap-Chat","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1072,F,1044,T,2.7,514,472,1.14,943.9,
"0133","Capreol","Capreol","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,2815,F,2875,T,-2.1,1262,1214,1.99,1417.9,
"0134","Caraquet","Caraquet","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","New Brunswick","Nouveau-Brunswick",13,,3108,F,3079,T,0.9,1491,1409,7.63,407.5,
"0135","Carberry","Carberry","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,1682,F,1669,F,0.8,805,746,1.75,961.3,
"0136","Carbonear","Carbonear","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,6520,F,6309,T,3.3,3012,2747,10.83,601.8,
"0137","Cardinal","Cardinal","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1717,F,1789,T,-4.0,842,790,2.42,708.5,
"0138","Cardston","Cardston","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Alberta","Alberta",48,,3258,F,3283,T,-0.8,1160,1067,3.22,1012.5,
"0140","Carleton Place","Carleton Place","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Ontario","Ontario",35,,11936,F,10829,T,10.2,4873,4744,12.47,957.5,
"0141","Carlyle","Carlyle","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1503,F,1431,T,5.0,682,617,2.20,683.3,
"0142","Carman","Carman","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,2980,F,2839,T,5.0,1407,1328,2.85,1045.7,
"0143","Carnduff","Carnduff","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Saskatchewan","Saskatchewan",47,,1023,F,1060,T,-3.5,442,404,1.05,971.0,
"0144","Casselman","Casselman","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,3563,F,3642,F,-2.2,1486,1440,5.14,692.5,
"0146","Castlegar","Castlegar","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","British Columbia","Colombie-Britannique",59,,9023,F,8815,T,2.4,4136,3936,14.74,612.1,
"0149","Causapscal","Causapscal","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1041,F,1133,T,-8.1,539,494,1.73,602.9,
"0150","Cayuga","Cayuga","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1713,F,1622,F,5.6,740,718,2.13,803.3,
"0154","Chandler","Chandler","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,2285,F,2273,T,0.5,1124,1064,1.90,1201.4,
"0155","Channel-Port aux Basques","Channel-Port aux Basques","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,3665,F,3818,T,-4.0,1797,1697,4.89,749.4,
"0156","Chapais","Chapais","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1318,F,1417,T,-7.0,660,588,0.99,1329.0,
"0157","Chapleau","Chapleau","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1170,F,1226,T,-4.6,673,549,0.57,2057.0,
