"Geographic code","Geographic name, english","Geographic name, french","Population centre size group, english","Population centre size group, french","Type of population centre, english","Type of population centre, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"0001","Acton","Acton","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,9462,F,9506,T,-0.5,3577,3512,7.80,1213.2,
"0002","Acton Vale","Acton Vale","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,5399,F,5133,T,5.2,2477,2378,4.30,1254.2,
"0003","Airdrie","Airdrie","Medium population centre (30,000 to 99,999)","Moyen centre de population (30 000 à 99 999)","Secondary core","Noyau secondaire","Alberta","Alberta",48,,61082,F,42844,T,42.6,22219,21488,32.78,1863.2,
"0005","Alençon","Alençon","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,1562,F,1590,T,-1.8,714,690,2.94,530.4,
"0006","Alexandria","Alexandria","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,2845,F,2924,T,-2.7,1406,1339,2.07,1375.1,
"0007","Alfred","Alfred","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Ontario","Ontario",35,,1185,F,1035,T,14.5,548,520,0.87,1369.6,
"0008","Alliston","Alliston","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,18809,F,15343,T,22.6,7498,7338,17.46,1077.6,
"0009","Alma","Alma","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Core","Noyau","Quebec","Québec",24,,21406,F,19965,T,7.2,10142,9750,14.71,1455.5,
"0010","Almonte","Almonte","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Fringe","Banlieue","Ontario","Ontario",35,,5039,F,4822,T,4.5,2244,2148,3.80,1325.7,
"0011","Altona","Altona","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Manitoba","Manitoba",46,,4167,F,4013,T,3.8,1683,1635,4.53,919.0,
"0012","Amherst","Amherst","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Nova Scotia","Nouvelle-Écosse",12,,9550,F,9868,T,-3.2,4815,4440,12.38,771.2,
"0014","Amherstburg","Amherstburg","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Secondary core","Noyau secondaire","Ontario","Ontario",35,,13910,F,13724,T,1.4,5637,5532,13.51,1029.3,
"0015","Amos","Amos","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,10005,F,9862,T,1.5,4787,4572,8.42,1188.1,
"0016","Amqui","Amqui","Small population centre (1,000 to 29,999)","Petit centre de population (1 000 à 29 999)","Population centre outside metropolitan area / census agglomerations","Population centre outside metropolitan area / census agglomerations","Quebec","Québec",24,,4511,F,4657,T,-3.1,2229,2159,5.57,810.4,
